time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
20:09:2,4471.5375,3100.154,1,0.6,94.7,2.7,97.3,95.3,2.9,97.1,0.0,0.0,0.0,0.0,1.6,2.9,19.5,0.6,2.8,0.2,0.6,0.9,0.5,3617700.8,412839.2,300208.0,268246.0,1208772.0,0.0,1121742.0,100.0,12.9,12.9,12.8,12.9,13.0
20:09:3,13784.429,10420.705153846153,1,2.6,94.2,3.9,96.1,93.7,4.4,95.6,0.0,0.0,0.0,0.0,0.4,0.7,4.4,1.0,2.2,0.0,1.0,1.6,0.4,3618964.0,411576.0,300427.2,266791.6,1208853.6,0.0,1121896.4,100.0,12.7,12.7,12.4,12.7,12.6
20:09:4,12175.429,12175.429,1,0.1,93.5,3.9,96.1,93.3,4.4,95.6,0.0,0.0,0.0,0.0,0.4,0.7,4.4,1.0,2.2,0.0,1.0,1.6,0.4,3620654.4,409885.6,300599.6,267080.4,1210227.6,0.0,1121899.2,100.0,15.4,15.4,15.3,15.4,15.9
20:09:5,14436.659399999999,10582.377944444444,1,1.8,95.0,4.0,96.0,94.0,4.7,95.3,0.0,0.0,0.0,0.0,0.5,0.9,6.8,0.7,2.9,0.1,0.7,1.1,0.3,3616850.0,413690.0,300636.8,266154.8,1206295.6,0.0,1121920.4,100.0,7.7,7.7,7.9,7.7,7.9
20:10:0,13268.212,13268.212,2,0.1,95.1,3.4,96.6,93.5,4.5,95.5,0.0,0.0,0.0,0.0,0.5,1.7,10.0,0.8,4.5,0.0,0.8,1.3,0.4,3619072.0,411468.0,300756.0,266737.2,1208233.6,0.0,1121927.2,100.0,15.0,15.0,15.4,15.0,16.0
20:10:1,11338.76095,5247.732535714286,2,2.8,94.2,4.7,95.3,94.1,4.6,95.4,0.0,0.0,0.0,0.0,1.9,2.0,18.0,0.9,6.9,0.0,0.9,1.6,0.3,3618695.2,411844.8,300512.8,266183.6,1208165.6,0.0,1121939.6,100.0,9.2,9.2,9.9,8.7,9.4
20:10:2,6908.8243999999995,5864.254147058826,2,3.4,93.1,4.4,95.6,93.7,4.8,95.2,0.0,0.0,0.0,0.0,46.8,4.6,252.0,0.9,8.3,0.1,0.9,1.5,0.8,3621874.4,408665.6,300540.4,266396.0,1211519.6,0.0,1121943.2,100.0,16.4,16.4,17.3,16.4,18.0
20:10:3,6886.0335,5823.152225806453,2,3.1,95.0,3.8,96.2,95.1,3.8,96.2,0.0,0.0,0.0,0.0,0.6,2.1,14.8,0.9,10.0,0.1,0.9,2.0,0.2,3621276.8,409263.2,300717.6,266886.8,1210659.2,0.0,1121952.0,100.0,11.0,11.0,10.8,11.0,11.2
20:10:4,6754.377799999999,4550.622631578946,3,3.8,93.8,4.4,95.6,94.9,3.3,96.7,0.0,0.0,0.0,0.0,3.1,2.6,24.8,0.6,5.6,0.0,0.6,1.3,0.4,3621411.2,409128.8,300809.6,267190.8,1210704.8,0.0,1121950.4,100.0,15.8,15.8,16.0,15.8,16.6
20:10:5,4933.0944,3976.1636603773586,3,5.3,94.5,3.7,96.3,95.2,4.1,95.9,0.0,0.0,0.0,0.0,35.9,3.5,179.5,1.1,9.3,0.1,1.1,1.4,0.5,3618840.0,411700.0,300732.4,266582.8,1208345.6,0.0,1121950.4,100.0,10.5,10.5,11.0,10.5,11.2
20:11:0,4958.6467,3972.2676750000005,3,4.0,94.0,4.2,95.8,93.3,3.6,96.3,0.0,0.0,0.0,0.0,0.5,2.6,14.0,0.7,5.9,0.0,0.7,1.1,0.3,3622051.6,408488.4,300860.4,267080.0,1211140.0,0.0,1121983.6,100.0,15.0,15.0,15.6,15.0,16.2
20:11:1,4966.873949999999,3969.026431818183,3,4.4,94.6,3.6,96.4,93.9,4.1,95.9,0.0,0.0,0.0,0.0,0.3,1.4,8.4,0.5,7.2,0.1,0.5,0.8,0.1,3620187.2,410352.8,300971.6,266774.0,1209313.6,0.0,1122110.8,100.0,12.1,12.1,12.8,12.1,13.2
20:11:2,4530.0398,3047.0584727272712,4,5.5,95.2,3.3,96.7,93.6,4.0,96.0,0.0,0.0,0.0,0.0,1.7,4.6,29.6,1.0,9.1,0.1,1.0,1.7,0.6,3618554.8,411985.2,300942.8,266752.4,1208165.6,0.0,1122113.6,100.0,15.6,15.6,16.3,15.1,16.5
20:11:3,3514.7472,2879.5718923076925,4,6.5,93.6,3.2,96.7,92.0,4.4,95.6,7.0,0.0,156.3,0.5,40.1,3.4,206.4,0.9,10.7,0.1,1.0,1.2,2.5,3568418.8,462121.2,263688.8,266339.6,1211249.6,0.0,1113853.2,100.0,14.2,14.2,15.1,13.5,14.8
20:11:4,3366.7524,2841.6662461538467,4,6.5,95.1,3.8,96.2,94.0,3.9,96.1,0.0,0.0,0.0,0.0,0.4,1.4,11.6,0.5,8.6,0.0,0.5,1.2,0.2,3564714.0,465826.0,259656.4,266264.4,1211438.8,0.0,1113402.0,100.0,12.8,12.8,13.2,12.8,13.6
20:11:5,3298.56775,2807.4978833333325,4,6.0,95.2,3.2,96.8,93.7,4.1,95.9,0.0,0.0,0.0,0.0,0.6,2.5,15.6,0.7,7.4,0.0,0.7,1.5,0.3,3563164.0,467376.0,259668.8,266296.0,1209964.0,0.0,1113401.6,100.0,15.1,15.1,15.8,15.1,16.4
20:12:0,3238.746,2291.017469135803,5,8.1,93.9,4.1,95.9,94.6,3.3,96.7,0.0,0.0,0.0,0.0,2.5,2.8,24.0,0.8,7.5,0.1,0.8,1.3,0.2,3562512.4,468027.6,260062.8,266296.4,1209546.0,0.0,1113414.8,100.0,10.8,10.8,12.5,10.8,12.7
20:12:1,2765.96625,2263.718925,5,8.0,93.0,4.3,95.7,95.7,2.7,97.3,0.0,0.0,0.0,0.0,39.3,1.9,195.2,0.5,6.3,0.0,0.5,1.2,0.4,3562205.2,468334.8,260586.4,266302.0,1208847.6,0.0,1113435.6,100.0,12.2,12.2,14.1,12.2,14.5
20:12:2,2668.2943499999997,2253.8296309523816,5,8.4,94.5,4.4,95.6,95.3,2.9,97.1,0.3,0.0,1.2,0.2,20.7,7.1,122.4,2.0,9.3,0.2,2.0,2.7,1.7,3563888.0,466652.0,260778.4,266025.2,1210182.0,0.0,1113434.8,100.0,13.9,13.9,16.5,13.4,16.5
20:12:3,2627.06805,2252.535231707316,5,8.2,94.5,3.9,96.1,93.6,4.3,95.7,0.2,0.0,0.8,0.2,2.8,2.4,25.2,1.0,8.0,0.0,1.0,2.1,0.4,3563655.6,466884.4,260696.4,266410.0,1209653.2,0.0,1113457.2,100.0,14.4,14.4,15.9,14.4,16.5
20:12:4,2600.7828,1908.8325052631574,6,9.5,95.2,3.1,96.9,94.5,3.6,96.4,0.0,0.0,0.0,0.0,0.5,1.9,11.6,0.7,5.2,0.1,0.7,1.0,0.2,3562782.4,467757.6,260610.8,266508.4,1208990.4,0.0,1113476.4,100.0,11.2,11.2,12.5,11.2,12.9
20:12:5,2534.1099,1885.908191489362,6,9.4,94.7,3.6,96.4,94.5,4.0,95.9,0.1,0.0,0.4,0.3,32.6,3.0,162.8,0.4,5.8,0.1,0.7,1.6,0.6,3562766.4,467773.6,260450.0,266558.8,1208973.6,0.0,1113590.8,100.0,12.3,12.3,13.5,12.3,13.9
