time,notification,actual_vm_number_was,actual_vm_nuber_is
15:36:03,"Worker 192.168.0.245 added.",1,2
15:36:12,"Worker 192.168.0.73 added.",2,3
15:36:21,"Worker 192.168.0.203 added.",3,4
15:36:31,"Worker 192.168.0.41 added.",4,5
15:36:42,"Worker 192.168.0.175 added.",5,6
15:37:01,"Worker 192.168.0.218 added.",6,7
15:40:12,"Worker 192.168.0.253 removed.",7,6
15:40:21,"Worker 192.168.0.245 removed.",6,5
15:40:31,"Worker 192.168.0.73 removed.",5,4
15:40:41,"Worker 192.168.0.203 removed.",4,3
15:40:50,"Worker 192.168.0.41 removed.",3,2
15:41:00,"Worker 192.168.0.175 removed.",2,1
15:41:21,"Worker 192.168.0.253 added.",1,2
15:41:50,"Worker 192.168.0.253 removed.",2,1
15:42:31,"Worker 192.168.0.253 added.",1,2
15:42:51,"Worker 192.168.0.253 removed.",2,1
