time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
17:02:1,160.09655,94.0325,1,0.2,5.9,93.0,6.7,6.2,93.1,6.9,0.1,3.0,12.4,0.4,2.2,3.7,28.9,1.3,10.4,0.2,1.3,1.6,0.5,3581616.0,448924.0,220186.4,230319.6,1230571.6,0.0,1143041.2,100.0,3.8,3.8,3.8,3.2,3.2
17:02:2,2369.17035,1015.0157432432434,1,7.4,85.3,13.4,86.6,82.8,15.2,84.7,0.0,0.0,0.0,0.0,1.6,3.3,22.8,0.8,3.0,0.2,0.8,1.0,0.7,3580516.0,450024.0,220638.8,230324.8,1227695.2,0.0,1143044.4,100.0,38.2,38.2,34.2,38.2,34.2
17:02:3,3092.9284000000002,1551.9454666666663,2,12.0,76.5,21.9,78.0,77.3,20.5,79.5,0.0,0.0,0.0,0.0,0.8,3.9,20.4,1.2,9.8,0.1,1.2,2.1,0.4,3578917.6,451622.4,216600.4,241708.8,1226636.8,0.0,1064423.2,100.0,33.7,33.7,31.0,32.5,29.9
17:02:4,1564.674,706.5619337016575,3,18.1,71.1,27.2,72.8,69.0,29.1,70.9,0.0,0.0,0.0,0.0,1.7,1.8,17.2,1.1,5.3,0.1,1.1,1.5,0.4,3506881.6,523658.4,181262.0,229138.4,1222058.4,0.0,1228470.4,100.0,33.0,33.0,30.3,31.8,29.2
17:02:5,406.36749999999995,180.28805128205113,4,19.5,57.1,42.1,57.9,56.5,42.2,57.8,0.0,0.0,0.0,0.0,1.5,0.4,11.6,0.6,4.3,0.0,0.6,1.1,0.1,3461538.4,568993.6,211240.8,232900.0,1216614.0,0.0,1098013.6,100.0,24.7,24.7,22.5,23.5,21.4
17:03:0,245.61525,154.75086734693878,3,19.6,77.8,19.5,80.3,79.3,18.3,81.7,0.0,0.0,0.0,0.0,2.0,10.1,51.7,1.1,6.3,0.2,1.1,1.7,0.8,3465408.0,565124.0,211445.2,232908.0,1219407.2,0.0,1098020.8,100.0,31.6,31.6,29.4,31.6,29.6
17:03:1,1614.258,901.0999578313249,2,16.6,87.9,10.5,89.4,86.5,11.9,88.1,0.0,0.0,0.0,0.0,0.5,1.9,11.2,0.8,5.1,0.1,0.8,1.1,0.3,3469012.4,561519.6,211948.0,233310.8,1222585.6,0.0,1098040.0,100.0,30.9,30.9,30.5,30.9,30.5
17:03:2,1445.588699999998,500.12932631578946,3,19.0,82.2,14.9,85.1,86.8,11.1,88.9,0.0,0.0,0.0,0.0,0.7,3.0,18.4,0.9,8.3,0.1,0.9,1.7,0.4,3468376.0,562156.0,211846.0,233317.6,1221932.8,0.0,1098045.6,100.0,27.3,27.3,28.1,27.3,28.3
17:03:3,232.13875,151.6698418367347,4,19.6,69.2,28.7,71.3,69.2,30.0,69.9,0.0,0.0,0.0,0.0,28.0,4.7,148.8,0.8,9.1,0.0,0.8,1.8,0.5,3468124.4,562407.6,211872.4,233328.4,1221823.2,0.0,1098047.2,100.0,22.3,22.3,23.6,22.3,23.8
17:03:4,238.0357999999999,154.40043814432994,3,19.4,79.1,19.5,80.4,81.1,16.8,83.2,0.0,0.0,0.0,0.0,0.6,2.3,16.0,1.0,10.8,0.1,1.0,2.0,0.2,3468087.6,562444.4,211877.6,233346.4,1221687.6,0.0,1098046.0,100.0,23.8,23.8,25.4,23.8,25.4
17:03:5,1612.23045,878.48136627907,2,17.2,85.5,12.6,87.4,86.8,10.7,89.3,0.0,0.0,0.0,0.0,20.5,6.3,120.0,0.9,8.4,0.2,0.9,1.1,0.6,3469268.8,561263.2,212025.2,232968.0,1222444.4,0.0,1098052.0,100.0,29.9,29.9,31.5,29.4,31.3
17:04:0,1343.1776,593.0236243386246,3,18.9,88.0,10.2,89.8,85.6,11.7,88.3,0.0,0.0,0.0,0.0,1.8,3.9,26.0,0.7,6.4,0.1,0.7,1.4,0.5,3470563.2,559968.8,212150.0,232971.6,1223559.6,0.0,1098051.6,100.0,26.6,26.6,28.9,26.6,29.1
17:04:1,179.153,145.12041116751277,4,19.7,65.8,32.1,67.8,67.0,30.7,69.3,0.0,0.0,0.0,0.0,0.4,3.0,13.6,0.8,6.8,0.1,0.8,1.4,0.3,3467178.0,563354.0,211918.8,233369.6,1220633.6,0.0,1098078.8,100.0,20.5,20.5,22.6,20.5,22.6
17:04:2,317.02895,190.52871212121212,3,19.8,79.1,19.4,80.5,79.1,18.5,81.5,0.0,0.0,0.0,0.0,0.5,2.3,12.4,0.9,7.0,0.1,0.9,1.8,0.3,3468374.4,562157.6,211961.6,233387.2,1221672.0,0.0,1098084.4,100.0,26.8,26.8,28.6,26.1,28.1
17:04:3,1623.7989999999998,922.135921212121,2,16.5,86.2,11.4,88.6,86.8,11.4,88.6,0.0,0.0,0.0,0.0,25.8,2.5,132.8,1.0,7.4,0.0,1.0,1.8,0.4,3470212.4,560319.6,212456.0,233004.0,1222610.8,0.0,1098092.0,100.0,26.5,26.5,28.7,26.5,28.9
17:04:4,1346.7184499999985,506.5281999999999,3,19.0,84.6,12.5,87.5,84.6,13.3,86.7,0.0,0.0,0.0,0.0,0.4,2.1,13.6,1.4,9.2,0.1,1.4,2.4,0.3,3471173.2,559358.8,212460.0,233011.2,1223824.0,0.0,1098098.4,100.0,25.6,25.6,28.5,25.6,28.7
17:04:5,177.80369999999996,146.49240909090915,4,19.8,66.7,32.1,67.9,67.5,30.3,69.6,0.0,0.0,0.0,0.0,1.6,4.1,29.2,0.7,11.1,0.2,0.7,2.1,0.4,3468577.6,561954.4,212267.6,233419.6,1221835.6,0.0,1098102.8,100.0,20.1,20.1,23.8,19.6,23.4
17:05:0,277.28999999999996,165.2202385786802,3,19.7,80.3,17.5,82.5,79.1,19.5,80.5,0.0,0.0,0.0,0.0,2.7,1.9,20.4,0.2,2.7,0.0,0.2,0.5,0.2,3468075.6,562456.4,212313.6,233425.2,1221316.0,0.0,1098103.2,100.0,23.8,23.8,27.1,23.8,27.3
17:05:1,1591.073499999999,898.7776279069768,2,17.2,87.2,10.6,89.4,85.7,12.6,87.4,0.0,0.0,0.0,0.0,22.9,3.0,118.8,0.5,3.8,0.1,0.5,0.9,0.5,3470253.6,560278.4,212605.2,233044.0,1222742.4,0.0,1098128.0,100.0,24.8,24.8,28.3,24.8,28.5
17:05:2,1368.0089999999998,525.1448395721925,3,18.7,86.1,11.2,88.8,83.9,13.9,86.1,0.0,0.0,0.0,0.0,0.6,1.9,12.8,0.8,6.6,0.0,0.8,1.6,0.3,3469800.8,560731.2,212320.8,233054.8,1222607.6,0.0,1098126.8,100.0,24.5,24.5,28.7,24.5,28.9
17:05:3,233.5710999999999,155.92512060301502,4,19.9,67.1,30.8,69.0,66.3,31.5,68.5,0.0,0.0,0.0,0.0,0.7,2.2,13.6,0.9,6.9,0.0,0.9,2.0,0.3,3468552.8,561979.2,212171.6,233068.0,1222065.6,0.0,1098128.8,100.0,20.5,20.5,24.2,20.5,24.4
17:05:4,533.8072,237.9222525773195,3,19.4,81.8,16.0,84.0,80.3,18.2,81.8,0.0,0.0,0.0,0.0,1.1,3.1,20.4,0.9,9.5,0.1,0.9,1.7,0.2,3467662.8,562869.2,212194.0,233724.8,1221220.8,0.0,1098132.8,100.0,22.6,22.6,26.7,22.6,26.7
17:05:5,265.73724999999996,164.47409595959596,3,19.8,81.0,17.3,82.6,79.9,18.6,81.3,0.0,0.0,0.0,0.0,24.2,4.8,135.7,0.8,8.9,0.1,0.8,1.7,0.6,3468703.6,561828.4,212303.2,233496.8,1221863.2,0.0,1098132.4,100.0,25.8,25.8,31.5,24.6,30.6
17:06:0,1632.8357999999998,821.8473696969698,2,16.5,87.7,10.4,89.6,86.7,11.6,88.4,0.0,0.0,0.0,0.0,0.4,1.3,9.2,0.5,6.4,0.0,0.5,1.6,0.2,3470632.8,559899.2,212514.0,233532.4,1223123.2,0.0,1098141.6,100.0,25.2,25.2,30.1,25.2,30.3
17:06:1,1316.3336,500.43513227513205,3,18.9,86.7,11.3,88.7,84.5,13.1,86.8,0.0,0.0,0.0,0.0,3.0,3.1,26.0,0.9,6.5,0.2,0.9,1.2,0.3,3472463.2,558068.8,212490.0,233543.2,1224876.0,0.0,1098284.0,100.0,23.1,23.1,27.8,23.1,28.0
17:06:2,197.5231,148.49261025641027,4,19.5,68.0,30.6,69.4,68.4,29.8,70.2,0.0,0.0,0.0,0.0,0.6,1.8,12.8,0.9,6.4,0.2,0.9,1.6,0.3,3469006.4,561525.6,212382.4,233124.0,1221579.6,0.0,1098292.4,100.0,19.2,19.2,22.9,19.2,23.1
