worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,18:53:51,18:53:5,671.8845999999998,458.3391076923078,1,6.5,22.7,60.6,39.3,1.1,9.4,43.7,0.3,2.2,2.7,21.6,1.5,10.1,0.0,1.4,2.2,0.7,1730106.8,305261.2,140295.2,108519.2,866154.4,0.0,352343.6,100.0,1324.1,1324.1,1985.6,1324.1,1985.6
192.168.0.6,18:54:01,18:54:0,799.7018999999962,486.8980854271356,1,19.9,59.3,0.6,99.4,0.7,3.0,45.1,0.6,0.8,13.5,59.2,1.0,23.9,0.0,1.1,2.3,0.9,1737146.0,298222.0,140794.0,108993.6,870592.8,0.0,352471.6,100.0,2587.6,2587.6,5086.3,2587.0,5085.8
192.168.0.6,18:54:12,18:54:1,1831.6617,921.4750862068965,1,23.2,54.4,0.5,99.5,0.0,0.0,0.0,0.0,0.6,2.1,12.8,0.8,6.9,0.0,0.8,1.7,0.3,1735007.6,300360.4,141020.4,108088.0,867580.8,0.0,352509.6,100.0,3008.1,3008.1,5887.0,3008.1,5887.3
192.168.0.6,18:54:20,18:54:2,2130.0423,641.757062283737,4,57.8,56.9,0.3,99.7,0.5,0.0,4.0,0.5,0.7,2.1,14.8,0.6,7.5,0.1,0.8,1.3,0.3,1739564.0,295804.0,141275.6,108131.6,870632.8,0.0,352510.0,100.0,3108.7,3108.7,5617.4,3108.7,5617.6
192.168.0.6,18:54:30,18:54:3,556.97075,374.5407091439685,5,102.8,55.1,0.6,99.4,0.1,0.0,0.4,0.2,32.1,6.5,176.3,0.5,6.3,0.0,0.7,2.0,0.5,1740505.2,294862.8,141332.0,108158.8,871346.4,0.0,352505.2,100.0,2671.4,2671.4,5575.1,2671.4,5575.2
192.168.0.6,18:54:40,18:54:4,487.60714999999993,281.8098897196262,5,107.0,53.9,1.7,98.3,0.0,0.0,0.0,0.0,2.1,4.2,30.9,1.1,5.5,0.1,1.1,1.7,0.7,1741164.8,294203.2,141465.6,108167.6,871974.4,0.0,352498.0,100.0,2682.7,2682.7,5475.8,2682.2,5475.4
192.168.0.6,18:54:50,18:54:5,131.52009999999999,91.06875052631571,5,95.0,52.1,8.9,91.1,0.1,0.0,0.4,0.3,0.7,2.1,14.8,0.9,6.9,0.1,1.2,2.3,0.4,1741799.2,293568.8,141608.4,108210.4,872518.0,0.0,352504.0,100.0,2450.6,2450.6,4922.5,2450.6,4922.6
192.168.0.6,18:55:00,18:55:0,315.5318,185.69207407407396,2,51.3,55.8,1.6,98.4,0.0,0.0,0.0,0.0,2.9,2.1,22.0,1.1,7.1,0.1,1.1,1.8,0.3,1742643.2,292724.8,141689.6,108224.0,873028.4,0.0,352623.6,100.0,2750.2,2750.2,5425.6,2750.2,5425.7
192.168.0.6,18:55:11,18:55:1,991.1480999999995,458.3169563318774,2,45.8,54.1,0.7,99.3,0.0,0.0,0.0,0.0,23.6,2.4,125.9,2.6,5.5,0.1,2.6,3.0,0.8,1741730.8,293637.2,141906.4,108509.2,872100.4,0.0,352650.4,100.0,2845.4,2845.4,5600.6,2845.4,5600.6
192.168.0.6,18:55:21,18:55:2,1198.0615,890.0676241299306,2,43.1,54.2,0.2,99.8,0.1,0.0,0.8,0.2,0.6,2.1,12.4,0.7,4.3,0.1,0.9,1.7,0.3,1742798.8,292569.2,142070.0,108534.0,873044.0,0.0,352660.0,100.0,2827.7,2827.7,5558.8,2827.7,5558.9
192.168.0.6,18:55:30,18:55:3,1007.2203,642.2595946843855,3,60.2,52.9,0.4,99.6,0.0,0.0,0.0,0.0,0.2,1.5,6.8,0.4,3.4,0.1,0.4,0.6,0.1,1743248.0,292120.0,142084.0,108562.8,873296.8,0.0,352667.6,100.0,2794.9,2794.9,5543.1,2794.9,5543.2
192.168.0.6,18:55:40,18:55:4,650.97795,368.66947208737923,4,82.4,55.3,1.0,99.0,0.0,0.0,0.0,0.0,4.5,4.7,41.6,1.4,7.6,0.1,1.4,2.1,0.8,1744582.0,290786.0,142214.4,108295.2,874616.8,0.0,352798.4,100.0,2790.6,2790.6,5597.8,2790.1,5597.4
192.168.0.6,18:55:50,18:55:5,179.61179999999993,108.87616605616604,4,81.9,55.0,3.3,96.7,0.0,0.0,0.0,0.0,23.1,3.4,130.8,0.6,5.7,0.0,0.6,1.2,0.5,1745716.8,289651.2,142276.4,108300.0,875352.4,0.0,352808.4,100.0,2630.5,2630.5,5203.3,2630.5,5203.4
