worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,18:41:30,18:41:3,242.80164999999994,154.46976470588237,1,3.4,10.9,79.7,20.2,0.0,0.0,0.0,0.0,0.5,0.9,7.2,0.9,4.6,0.0,0.9,1.6,0.2,1727883.2,307484.8,141186.0,107568.0,861500.0,0.0,351651.2,100.0,718.2,718.2,873.8,718.2,873.8
192.168.0.6,18:41:40,18:41:4,208.42105,89.6097755102041,1,9.8,31.6,42.4,57.6,0.0,0.0,0.0,0.0,2.8,5.5,39.9,1.3,9.7,0.3,1.3,2.1,1.2,1731309.6,304058.4,141261.2,107587.2,864555.6,0.0,351660.4,100.0,2096.1,2096.1,2512.0,2095.6,2511.6
192.168.0.6,18:41:50,18:41:5,226.6232,98.19290243902437,1,12.3,39.5,31.1,68.8,0.0,0.0,0.0,0.0,2.3,2.4,20.8,0.9,6.3,0.1,0.9,1.2,0.2,1732045.6,303322.4,141316.4,107620.0,865574.0,0.0,351651.2,100.0,2392.5,2392.5,3154.4,2392.5,3154.5
192.168.0.6,18:42:02,18:42:0,2295.5002,1550.6874741379308,1,23.2,56.3,0.2,99.8,0.0,0.0,0.0,0.0,0.5,1.7,10.8,0.8,6.6,0.1,0.8,1.6,0.2,1732906.4,302461.6,141737.2,107624.0,865470.8,0.0,351660.4,100.0,2806.3,2806.3,5492.2,2806.3,5492.7
192.168.0.6,18:42:10,18:42:1,2489.7138,633.485528169014,3,28.4,46.6,17.6,82.4,0.1,0.0,0.4,0.2,23.7,3.1,127.6,1.0,9.3,0.1,1.0,1.8,0.4,1734438.8,300929.2,141605.2,107653.6,866988.4,0.0,351787.2,100.0,2375.2,2375.2,4104.5,2375.2,4105.1
192.168.0.6,18:42:20,18:42:2,82.48249999999999,66.11599348534203,4,30.7,29.0,45.8,54.2,0.2,0.0,2.8,0.3,0.6,2.0,12.8,0.9,8.3,0.0,1.1,2.1,0.4,1734732.8,300635.2,141424.8,107676.0,867865.2,0.0,351808.0,100.0,1814.2,1814.2,2090.2,1814.2,2090.3
192.168.0.6,18:42:30,18:42:3,78.58759999999998,68.31563000000001,1,10.0,33.8,37.7,62.1,0.1,0.0,0.4,0.2,2.0,1.7,16.8,1.0,7.4,0.1,1.2,2.0,0.2,1734886.4,300481.6,141476.4,107684.0,867642.0,0.0,351812.0,100.0,2111.7,2111.7,2345.2,2111.7,2345.3
192.168.0.6,18:42:40,18:42:4,79.28944999999999,69.80588999999996,1,10.0,37.8,33.6,66.3,0.0,0.0,0.0,0.0,2.2,4.2,31.9,0.8,10.4,0.1,0.8,2.0,0.5,1735759.2,299608.8,141468.4,107708.0,868403.6,0.0,351810.0,100.0,2301.5,2301.5,2576.7,2301.0,2576.3
192.168.0.6,18:42:50,18:42:5,260.94845,114.22995454545452,1,13.2,37.0,32.6,67.3,0.1,0.0,0.4,0.3,24.0,2.5,125.7,0.8,5.8,0.1,1.1,1.5,0.4,1735582.4,299785.6,141526.8,107736.0,868569.6,0.0,351808.4,100.0,2506.1,2506.1,3347.1,2506.1,3347.2
192.168.0.6,18:43:02,18:43:0,2316.73305,1641.5327083333336,1,24.0,55.7,0.2,99.8,0.0,0.0,0.0,0.0,2.7,2.1,21.2,1.0,7.1,0.1,1.0,1.8,0.3,1735734.4,299633.6,141825.6,107912.0,867842.4,0.0,351948.8,100.0,2876.9,2876.9,5644.2,2876.9,5644.5
192.168.0.6,18:43:10,18:43:1,2443.3592,614.3576933797914,3,28.7,49.3,15.1,84.9,0.0,0.0,0.0,0.0,0.7,1.9,13.6,0.9,8.0,0.1,0.9,1.8,0.2,1737440.0,297928.0,141687.2,107957.2,869658.0,0.0,351967.6,100.0,2741.4,2741.4,4251.0,2741.4,4251.2
192.168.0.6,18:43:20,18:43:2,78.77080000000001,67.37176547231276,4,30.7,31.7,45.8,54.1,0.0,0.0,0.0,0.0,0.6,2.0,13.2,1.1,8.6,0.1,1.1,2.2,0.3,1737368.8,297999.2,141503.2,107972.0,869866.8,0.0,351967.6,100.0,1763.1,1763.1,2094.8,1763.1,2094.9
192.168.0.6,18:43:30,18:43:3,69.78735,62.14372000000001,1,10.0,33.6,41.6,58.4,0.3,0.0,1.2,0.3,24.8,2.2,125.4,0.6,7.9,0.1,0.9,1.1,0.2,1737909.6,297458.4,141497.6,108024.0,870729.6,0.0,351972.0,100.0,2178.3,2178.3,2367.6,2178.3,2367.7
