time,notification,actual_vm_number_was,actual_vm_number_is
18:42:03,"Worker 192.168.0.73 added.",1,2
18:42:03,"Worker 192.168.0.91 added.",2,3
18:42:11,"Worker 192.168.0.93 added.",3,4
18:42:20,"Worker 192.168.0.73 removed.",4,3
18:42:21,"Worker 192.168.0.91 removed.",3,2
18:42:21,"Worker 192.168.0.93 removed.",2,1
18:43:03,"Worker 192.168.0.73 added.",1,2
18:43:03,"Worker 192.168.0.91 added.",2,3
18:43:11,"Worker 192.168.0.93 added.",3,4
18:43:20,"Worker 192.168.0.73 removed.",4,3
18:43:20,"Worker 192.168.0.91 removed.",3,2
18:43:21,"Worker 192.168.0.93 removed.",2,1
