timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684267506332,89,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,88,0,6
1684267506836,84,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,84,0,3
1684267507860,162,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,162,0,7
1684267507860,164,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,164,0,4
1684267508023,78,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,78,0,4
1684267509865,153,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,337,133,49,49,http://193.225.250.30/io/1/dir_path/250,153,0,4
1684267509865,154,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,337,133,49,49,http://193.225.250.30/io/1/dir_path/250,154,0,4
1684267511368,82,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,336,133,47,47,http://193.225.250.30/io/1/dir_path/250,82,0,4
1684267512371,74,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,336,133,46,46,http://193.225.250.30/io/1/dir_path/250,74,0,5
1684267513374,138,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,336,133,45,45,http://193.225.250.30/io/1/dir_path/250,138,0,62
1684267514378,79,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,336,133,44,44,http://193.225.250.30/io/1/dir_path/250,79,0,5
1684267515380,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,336,133,43,43,http://193.225.250.30/io/1/dir_path/250,81,0,4
1684267516381,78,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,336,133,42,42,http://193.225.250.30/io/1/dir_path/250,78,0,6
1684267517384,80,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,336,133,41,41,http://193.225.250.30/io/1/dir_path/250,80,0,4
1684267518384,77,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,336,133,40,40,http://193.225.250.30/io/1/dir_path/250,77,0,4
1684267519386,80,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,336,133,39,39,http://193.225.250.30/io/1/dir_path/250,80,0,5
1684267520389,75,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,336,133,38,38,http://193.225.250.30/io/1/dir_path/250,75,0,5
1684267521392,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-31,text,true,,336,133,37,37,http://193.225.250.30/io/1/dir_path/250,81,0,26
1684267522393,80,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,336,133,36,36,http://193.225.250.30/io/1/dir_path/250,80,0,7
1684267523400,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-36,text,true,,336,133,35,35,http://193.225.250.30/io/1/dir_path/250,81,0,4
1684267524403,76,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-35,text,true,,336,133,34,34,http://193.225.250.30/io/1/dir_path/250,76,0,5
1684267525405,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-40,text,true,,336,133,33,33,http://193.225.250.30/io/1/dir_path/250,81,0,5
1684267526406,78,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-41,text,true,,336,133,32,32,http://193.225.250.30/io/1/dir_path/250,78,0,4
1684267527410,80,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-44,text,true,,336,133,31,31,http://193.225.250.30/io/1/dir_path/250,80,0,5
1684267528413,148,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-46,text,true,,337,133,30,30,http://193.225.250.30/io/1/dir_path/250,148,0,4
1684267528413,151,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-45,text,true,,337,133,29,29,http://193.225.250.30/io/1/dir_path/250,151,0,4
1684267529919,201,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-49,text,true,,337,133,28,28,http://193.225.250.30/io/1/dir_path/250,201,0,5
1684267529919,206,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-50,text,true,,337,133,27,27,http://193.225.250.30/io/1/dir_path/250,206,0,4
1684267529919,218,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-48,text,true,,337,133,26,26,http://193.225.250.30/io/1/dir_path/250,218,0,4
1684267531337,154,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,337,133,25,25,http://193.225.250.30/io/1/dir_path/250,154,0,4
1684267531337,155,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,337,133,24,24,http://193.225.250.30/io/1/dir_path/250,155,0,4
1684267532024,160,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,337,133,23,23,http://193.225.250.30/io/1/dir_path/250,160,0,4
1684267533366,154,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,337,133,22,22,http://193.225.250.30/io/1/dir_path/250,154,0,5
1684267533366,154,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,337,133,22,22,http://193.225.250.30/io/1/dir_path/250,154,0,5
1684267535375,180,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,337,133,20,20,http://193.225.250.30/io/1/dir_path/250,180,0,4
1684267535375,191,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,337,133,19,19,http://193.225.250.30/io/1/dir_path/250,191,0,5
1684267535375,204,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,337,133,18,18,http://193.225.250.30/io/1/dir_path/250,204,0,5
1684267537025,83,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,336,133,17,17,http://193.225.250.30/io/1/dir_path/250,83,0,4
1684267537535,165,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-26,text,true,,337,133,16,16,http://193.225.250.30/io/1/dir_path/250,165,0,16
1684267537534,256,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-28,text,true,,337,133,15,15,http://193.225.250.30/io/1/dir_path/250,256,0,7
1684267537534,257,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,337,133,14,14,http://193.225.250.30/io/1/dir_path/250,257,0,7
1684267537732,92,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,336,133,13,13,http://193.225.250.30/io/1/dir_path/250,92,0,4
1684267538412,155,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,337,133,12,12,http://193.225.250.30/io/1/dir_path/250,155,0,5
1684267538412,215,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-37,text,true,,337,133,11,11,http://193.225.250.30/io/1/dir_path/250,215,0,6
1684267538412,215,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-34,text,true,,337,133,11,11,http://193.225.250.30/io/1/dir_path/250,215,0,5
1684267539527,293,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-38,text,true,,337,133,9,9,http://193.225.250.30/io/1/dir_path/250,293,0,5
1684267539565,284,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-30,text,true,,337,133,8,8,http://193.225.250.30/io/1/dir_path/250,284,0,5
1684267539528,358,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-42,text,true,,337,133,7,7,http://193.225.250.30/io/1/dir_path/250,358,0,4
1684267539529,369,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-43,text,true,,337,133,6,6,http://193.225.250.30/io/1/dir_path/250,369,0,4
1684267539527,392,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,337,133,5,5,http://193.225.250.30/io/1/dir_path/250,392,0,4
1684267539736,188,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-39,text,true,,337,133,4,4,http://193.225.250.30/io/1/dir_path/250,188,0,7
