worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,20:05:12,20:05:1,150.03719999999998,116.0567142857143,1,0.7,7.4,89.0,10.9,0.0,0.0,0.0,0.0,0.8,1.9,12.8,1.2,5.0,0.2,1.2,1.4,0.3,1871484.8,163883.2,149284.4,114167.6,836548.8,0.0,458172.0,100.0,208.8,208.8,208.7,208.8,208.7
192.168.0.6,20:05:21,20:05:2,72.27839999999999,62.04510000000001,1,1.0,12.1,82.0,17.9,0.0,0.0,0.0,0.0,0.8,2.5,13.2,1.0,4.9,0.0,1.0,1.5,0.4,1876458.4,158909.6,149468.8,114583.6,840961.6,0.0,458172.8,100.0,254.9,254.9,261.1,254.9,261.2
192.168.0.6,20:05:32,20:05:3,200.6488,107.64392307692309,1,1.3,8.5,85.7,14.0,0.0,0.0,0.0,0.0,3.9,4.3,36.0,1.4,8.8,0.1,1.4,2.0,0.6,1874254.0,161114.0,149444.4,114190.4,838579.2,0.0,458179.6,100.0,337.4,337.4,337.4,337.4,337.4
192.168.0.6,20:05:40,20:05:4,358.4529,200.247,1,2.2,14.0,77.0,22.6,0.0,0.0,0.0,0.0,1.9,4.2,30.0,0.9,11.8,0.1,0.9,2.4,0.6,1874753.2,160614.8,149488.4,114193.6,839093.2,0.0,458180.4,100.0,510.9,510.9,621.1,510.4,620.7
192.168.0.6,20:05:50,20:05:5,78.16260000000001,66.83754347826084,1,9.2,34.5,39.4,60.5,0.0,0.0,0.0,0.0,23.2,3.0,127.4,0.9,8.5,0.2,0.9,1.6,0.3,1874072.0,161296.0,149568.8,113608.8,838125.2,0.0,458186.0,100.0,2273.9,2273.9,2370.6,2273.9,2370.7
192.168.0.6,20:06:00,20:06:0,112.25229999999992,77.19595918367345,1,9.8,37.1,33.3,66.5,0.0,0.0,0.0,0.0,0.7,2.3,15.2,1.1,8.6,0.0,1.1,1.8,0.3,1873997.6,161370.4,149568.4,113620.0,838375.2,0.0,458180.4,100.0,2275.3,2275.3,2529.5,2275.3,2529.6
192.168.0.6,20:06:10,20:06:1,104.1163,74.18153398058254,1,10.3,37.5,33.4,66.6,0.0,0.0,0.0,0.0,3.0,2.0,21.6,0.6,6.2,0.1,0.6,1.0,0.1,1874855.2,160512.8,149649.6,113628.0,838708.4,0.0,458189.6,100.0,2133.7,2133.7,2638.0,2133.7,2638.1
192.168.0.6,20:06:21,20:06:2,161.30274999999978,80.72797142857144,1,14.0,43.1,21.4,78.5,0.0,0.0,0.0,0.0,14.4,1.7,82.5,0.5,6.1,0.1,0.5,1.0,0.2,1875474.8,159893.2,149838.8,114037.2,839203.6,0.0,458190.8,100.0,2142.3,2142.3,3599.8,2142.3,3599.8
192.168.0.6,20:06:31,20:06:3,888.332,555.0072840236686,1,16.9,53.5,0.5,99.5,0.0,0.0,0.0,0.0,7.1,2.7,51.2,0.8,10.3,0.1,0.8,2.0,0.3,1875328.0,160040.0,149974.8,113648.0,838858.4,0.0,458193.2,100.0,2243.1,2243.1,4371.4,2243.1,4371.5
192.168.0.6,20:06:40,20:06:4,1140.8353,264.9553114754097,2,18.3,38.7,27.4,72.6,0.0,0.0,0.0,0.0,2.6,4.9,35.6,0.6,9.0,0.2,0.6,1.4,0.6,1877631.2,157736.8,150012.0,113655.2,840582.8,0.0,458190.8,100.0,2252.6,2252.6,3002.3,2252.1,3001.9
