timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684336450243,112,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,112,0,24
1684336450628,87,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,86,0,5
1684336451632,158,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,158,0,4
1684336451632,159,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,159,0,4
1684336453142,275,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,275,0,6
1684336454145,67,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,67,0,6
1684336455149,82,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,82,0,5
1684336456166,75,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,75,0,4
1684336457173,82,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,82,0,5
1684336458184,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,81,0,6
1684336459196,79,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,78,0,4
