timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684266503589,179,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,179,0,7
1684266503595,180,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,337,133,50,50,http://193.225.250.30/io/1/dir_path/250,180,0,6
1684266504098,97,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,97,0,5
1684266505099,85,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,85,0,6
1684266506100,82,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,82,0,4
1684266507103,78,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,77,0,4
1684266508105,80,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,80,0,5
1684266509107,79,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,79,0,4
1684266510108,85,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,85,0,5
1684266511109,63,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,62,0,5
1684266512110,81,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,81,0,5
1684266513111,98,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,98,0,3
1684266514112,79,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,79,0,5
1684266515113,70,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-25,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,70,0,4
1684266516113,88,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-27,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,87,0,4
1684266517115,64,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-29,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,64,0,4
1684266518116,106,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-32,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,106,0,5
1684266519117,92,HTTP Request,200,,bzm - Concurrency Thread Group-ThreadStarter 1-33,text,true,,336,133,50,50,http://193.225.250.30/io/1/dir_path/250,92,0,5
