worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.6,19:48:30,19:48:3,165.671,94.369,1,0.8,4.1,93.0,7.0,0.0,0.0,0.0,0.0,0.5,1.0,7.6,0.9,4.8,0.0,0.9,1.8,0.3,1853196.8,182171.2,148439.2,112956.0,820869.6,0.0,456969.6,100.0,207.2,207.2,206.8,207.2,206.8
192.168.0.6,19:48:40,19:48:4,88.90984999999999,71.935,1,1.0,9.0,85.4,14.0,0.0,0.0,0.0,0.0,4.2,5.5,42.9,0.7,7.6,0.1,0.7,1.6,1.0,1856798.4,178569.6,148501.2,112964.0,823959.2,0.0,456961.2,100.0,261.4,261.4,260.8,260.9,260.4
192.168.0.6,19:48:50,19:48:5,148.04250000000002,84.38618181818181,1,1.1,9.7,85.0,14.9,0.0,0.0,0.0,0.0,0.6,2.2,12.8,0.8,7.6,0.1,0.8,2.0,0.2,1857856.0,177512.0,148541.6,112976.0,824510.8,0.0,456962.4,100.0,256.1,256.1,285.8,256.1,285.9
192.168.0.6,19:49:01,19:49:0,606.4829000000001,318.41920000000005,1,2.0,12.5,79.2,20.6,0.3,0.0,4.4,0.3,0.5,2.1,12.4,1.0,8.9,0.1,1.3,2.1,0.4,1859395.6,175972.4,148662.8,113595.6,826074.4,0.0,456965.2,100.0,558.7,558.7,714.6,558.7,714.6
192.168.0.6,19:49:10,19:49:1,511.2412999999995,141.14955319148942,1,9.4,40.2,35.9,64.0,0.3,0.0,4.4,0.3,21.5,3.4,120.4,1.0,12.4,0.1,1.3,2.1,0.4,1862359.2,173008.8,148788.4,113620.8,828612.8,0.0,457013.6,100.0,2227.5,2227.5,2647.4,2227.5,2647.5
192.168.0.6,19:49:20,19:49:2,106.34320000000001,70.62775757575757,1,9.9,37.6,36.8,63.0,0.0,0.0,0.0,0.0,2.1,1.7,17.2,0.9,7.0,0.1,0.9,1.6,0.2,1860433.6,174934.4,148724.0,113075.2,826506.0,0.0,457080.8,100.0,2390.6,2390.6,2548.7,2390.6,2548.8
192.168.0.6,19:49:30,19:49:3,86.15459999999999,73.54147272727276,1,11.0,42.5,26.5,73.5,0.0,0.0,0.0,0.0,0.3,1.6,9.6,0.7,6.0,0.1,0.7,1.2,0.2,1860464.0,174904.0,148822.8,113097.6,826804.0,0.0,457084.4,100.0,2018.3,2018.3,2831.9,2018.3,2832.0
192.168.0.6,19:49:40,19:49:4,94.05125,57.08968589743587,1,15.6,44.4,22.2,77.7,0.0,0.0,0.0,0.0,23.3,5.7,145.0,0.7,10.5,0.1,0.7,1.9,0.8,1860580.8,174787.2,148985.6,113107.2,826687.6,0.0,457086.8,100.0,2605.1,2605.1,3987.7,2604.6,3987.3
192.168.0.6,19:49:50,19:49:5,446.4038,177.5856256983241,1,17.9,51.4,5.4,94.6,0.0,0.0,0.0,0.0,2.9,2.7,24.4,1.8,8.4,0.2,1.8,2.6,0.4,1861966.4,173401.6,149112.0,113122.8,827599.6,0.0,457088.8,100.0,2331.5,2331.5,4546.1,2331.5,4546.2
192.168.0.6,19:50:01,19:50:0,1364.57875,939.2438295454547,1,17.6,49.9,2.0,98.0,0.0,0.0,0.0,0.0,0.5,2.1,12.4,0.8,7.4,0.1,0.8,1.6,0.2,1862141.6,173226.4,149301.6,113132.0,827472.4,0.0,457162.4,100.0,2251.4,2251.4,4380.7,2251.4,4380.7
