time,notification,actual_vm_number_was,actual_vm_number_is
19:38:03,"Worker 192.168.0.73 added.",1,2
19:38:03,"Worker 192.168.0.91 added.",2,3
19:38:11,"Worker 192.168.0.93 added.",3,4
19:38:20,"Worker 192.168.0.73 removed.",4,3
19:38:20,"Worker 192.168.0.91 removed.",3,2
19:38:21,"Worker 192.168.0.93 removed.",2,1
19:38:33,"Worker 192.168.0.73 added.",1,2
19:38:33,"Worker 192.168.0.91 added.",2,3
19:38:41,"Worker 192.168.0.93 added.",3,4
19:38:50,"Worker 192.168.0.73 removed.",4,3
19:38:51,"Worker 192.168.0.91 removed.",3,2
19:39:00,"Worker 192.168.0.93 removed.",2,1
19:39:13,"Worker 192.168.0.73 added.",1,2
19:39:13,"Worker 192.168.0.91 added.",2,3
19:39:21,"Worker 192.168.0.93 added.",3,4
19:39:30,"Worker 192.168.0.73 removed.",4,3
19:39:31,"Worker 192.168.0.91 removed.",3,2
19:39:40,"Worker 192.168.0.93 removed.",2,1
19:39:52,"Worker 192.168.0.73 added.",1,2
19:39:52,"Worker 192.168.0.91 added.",2,3
19:40:10,"Worker 192.168.0.73 removed.",3,2
19:40:20,"Worker 192.168.0.91 removed.",2,1
