time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
19:57:2,289.71545,253.4675,1,0.2,10.1,85.9,11.3,0.0,5.2,0.7,5.1,912117.2,92594.8,86677.2,58510.8,692752.8,0.0,46912.4,100.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:57:3,246.1806,233.23940000000002,1,0.5,18.3,72.8,21.8,0.0,51.6,0.4,9.4,908586.4,96125.6,85830.8,54979.2,696051.6,0.0,39202.0,100.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,6.1,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:57:4,1743.4665,1153.4069545454547,1,4.4,91.6,5.7,94.1,0.0,6.0,0.8,1.4,911920.8,92791.2,86158.0,55769.6,695470.0,0.0,36036.0,100.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,27.6,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:57:5,1095.3085999999998,680.6314678899084,2,10.9,93.0,4.9,95.1,0.0,40.0,0.5,8.1,921655.2,83056.8,80280.0,49658.8,688896.4,0.0,56466.8,100.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,35.9,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:58:0,1620.40445,952.3930304878055,3,16.4,95.8,0.6,99.3,0.0,43.0,0.7,18.9,934202.4,70509.6,79684.8,45631.2,749086.8,0.0,38467.6,100.0,0.0,0.0,35.1,0.0,0.0,0.0,0.0,0.0,35.1,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:58:1,1312.3075000000001,629.8128349514566,4,20.6,74.5,23.2,76.7,0.0,5.2,1.4,3.7,922061.2,82650.8,82711.2,53095.2,669206.0,0.0,74053.6,100.0,0.0,0.0,24.6,0.0,0.0,0.0,0.0,0.0,24.6,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:58:2,335.36905,196.33664400000006,5,25.0,74.0,23.4,76.0,0.0,5.2,1.1,4.9,912860.4,91851.6,82591.6,54190.8,691935.2,0.0,41783.6,100.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,25.3,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00:2,359.6755499999999,253.39615454545458,4,11.0,2.5,93.2,3.8,0.0,2.8,1.0,5.3,892886.0,111826.0,80808.4,48425.2,694542.4,0.0,32274.4,100.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.9,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00:3,230.5728,220.01699999999997,4,0.3,6.4,85.0,9.0,0.0,6.0,0.8,9.9,898647.6,106064.4,81101.6,48610.8,697249.6,0.0,32367.2,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00:4,238.50725,220.58466666666666,4,0.6,1.2,98.4,1.4,0.0,6.4,0.8,0.2,899813.2,104898.8,81395.6,48152.8,694899.2,0.0,28283.6,100.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00:5,442.33924999999994,254.220125,4,4.0,21.1,75.8,24.1,0.0,14.4,0.9,0.5,901918.4,102793.6,81479.2,48967.6,696636.4,0.0,28148.0,100.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,8.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:01:0,228.29439999999997,182.71630508474576,4,11.8,14.1,84.0,15.8,0.0,86.4,0.9,0.4,902186.4,102525.6,81485.6,49107.2,697023.2,0.0,28090.4,100.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:01:1,266.2235999999999,186.28244242424253,3,16.5,83.5,15.4,84.6,0.0,37.2,0.8,0.2,902888.0,101824.0,81507.6,48913.6,697108.0,0.0,28200.8,100.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0,29.9,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
