time,notification,actual_vm_number_was,actual_vm_number_is
19:57:42,"Worker 192.168.0.116 added.",1,2
19:57:52,"Worker 192.168.0.46 added.",2,3
19:58:03,"Worker 192.168.0.219 added.",3,4
19:58:11,"Worker 192.168.0.233 added.",4,5
19:58:21,"Worker 192.168.0.170 removed.",5,4
20:01:00,"Worker 192.168.0.116 removed.",4,3
20:01:11,"Worker 192.168.0.46 removed.",3,2
20:01:22,"Worker 192.168.0.170 added.",2,3
20:01:32,"Worker 192.168.0.116 added.",3,4
20:01:42,"Worker 192.168.0.46 added.",4,5
20:01:52,"Worker 192.168.0.230 added.",5,6
20:02:02,"Worker 192.168.0.243 added.",6,7
20:02:31,"Worker 192.168.0.170 removed.",7,6
20:02:41,"Worker 192.168.0.116 removed.",6,5
20:02:51,"Worker 192.168.0.46 removed.",5,4
20:03:01,"Worker 192.168.0.219 removed.",4,3
20:03:11,"Worker 192.168.0.233 removed.",3,2
20:03:31,"Worker 192.168.0.230 removed.",2,1
20:04:13,"Worker 192.168.0.170 added.",1,2
20:04:23,"Worker 192.168.0.116 added.",2,3
20:04:31,"Worker 192.168.0.46 added.",3,4
20:04:40,"Worker 192.168.0.219 added.",4,5
20:05:21,"Worker 192.168.0.233 added.",5,6
20:05:31,"Worker 192.168.0.230 added.",6,7
20:05:50,"Worker 192.168.0.170 removed.",7,6
20:06:00,"Worker 192.168.0.116 removed.",6,5
20:06:10,"Worker 192.168.0.46 removed.",5,4
20:06:20,"Worker 192.168.0.219 removed.",4,3
20:06:30,"Worker 192.168.0.233 removed.",3,2
20:06:50,"Worker 192.168.0.230 removed.",2,1
20:07:33,"Worker 192.168.0.170 added.",1,2
20:07:42,"Worker 192.168.0.116 added.",2,3
20:07:52,"Worker 192.168.0.46 added.",3,4
20:08:01,"Worker 192.168.0.219 added.",4,5
20:08:41,"Worker 192.168.0.233 added.",5,6
20:08:51,"Worker 192.168.0.230 added.",6,7
20:09:10,"Worker 192.168.0.170 removed.",7,6
20:09:20,"Worker 192.168.0.116 removed.",6,5
20:09:31,"Worker 192.168.0.46 removed.",5,4
20:09:40,"Worker 192.168.0.219 removed.",4,3
20:09:50,"Worker 192.168.0.233 removed.",3,2
20:10:00,"Worker 192.168.0.230 removed.",2,1
20:10:11,"Worker 192.168.0.170 added.",1,2
20:10:20,"Worker 192.168.0.116 added.",2,3
20:10:41,"Worker 192.168.0.170 removed.",3,2
20:10:51,"Worker 192.168.0.116 removed.",2,1
20:11:06,"Worker 192.168.0.170 added.",1,2
20:11:13,"Worker 192.168.0.116 added.",2,3
20:11:22,"Worker 192.168.0.46 added.",3,4
20:11:32,"Worker 192.168.0.219 added.",4,5
20:11:41,"Worker 192.168.0.233 added.",5,6
20:11:50,"Worker 192.168.0.230 added.",6,7
20:12:00,"Worker 192.168.0.170 removed.",7,6
20:12:20,"Worker 192.168.0.116 removed.",6,5
20:12:50,"Worker 192.168.0.46 removed.",5,4
20:13:00,"Worker 192.168.0.219 removed.",4,3
20:13:10,"Worker 192.168.0.233 removed.",3,2
20:13:20,"Worker 192.168.0.230 removed.",2,1
20:13:32,"Worker 192.168.0.170 added.",1,2
20:13:41,"Worker 192.168.0.116 added.",2,3
20:13:50,"Worker 192.168.0.170 removed.",3,2
20:14:01,"Worker 192.168.0.116 removed.",2,1
20:14:12,"Worker 192.168.0.170 added.",1,2
20:14:21,"Worker 192.168.0.116 added.",2,3
20:14:31,"Worker 192.168.0.46 added.",3,4
20:15:01,"Worker 192.168.0.219 added.",4,5
20:15:11,"Worker 192.168.0.233 added.",5,6
20:15:21,"Worker 192.168.0.230 added.",6,7
20:15:40,"Worker 192.168.0.170 removed.",7,6
20:15:50,"Worker 192.168.0.116 removed.",6,5
20:16:00,"Worker 192.168.0.46 removed.",5,4
20:16:30,"Worker 192.168.0.219 removed.",4,3
20:16:40,"Worker 192.168.0.233 removed.",3,2
20:16:50,"Worker 192.168.0.230 removed.",2,1
20:17:32,"Worker 192.168.0.170 added.",1,2
20:17:42,"Worker 192.168.0.116 added.",2,3
20:17:52,"Worker 192.168.0.46 added.",3,4
20:18:01,"Worker 192.168.0.219 added.",4,5
20:18:41,"Worker 192.168.0.233 added.",5,6
20:18:51,"Worker 192.168.0.230 added.",6,7
20:19:10,"Worker 192.168.0.170 removed.",7,6
20:19:20,"Worker 192.168.0.116 removed.",6,5
20:19:30,"Worker 192.168.0.46 removed.",5,4
20:19:40,"Worker 192.168.0.219 removed.",4,3
20:19:50,"Worker 192.168.0.233 removed.",3,2
20:20:10,"Worker 192.168.0.230 removed.",2,1
20:20:52,"Worker 192.168.0.170 added.",1,2
20:21:03,"Worker 192.168.0.116 added.",2,3
20:21:12,"Worker 192.168.0.46 added.",3,4
20:21:20,"Worker 192.168.0.219 added.",4,5
20:21:30,"Worker 192.168.0.170 removed.",5,4
20:21:52,"Worker 192.168.0.170 added.",4,5
20:22:01,"Worker 192.168.0.233 added.",5,6
20:22:11,"Worker 192.168.0.230 added.",6,7
20:22:30,"Worker 192.168.0.170 removed.",7,6
20:22:40,"Worker 192.168.0.116 removed.",6,5
20:22:50,"Worker 192.168.0.46 removed.",5,4
20:23:00,"Worker 192.168.0.219 removed.",4,3
20:23:10,"Worker 192.168.0.233 removed.",3,2
20:23:20,"Worker 192.168.0.230 removed.",2,1
20:23:32,"Worker 192.168.0.170 added.",1,2
20:23:40,"Worker 192.168.0.116 added.",2,3
20:24:00,"Worker 192.168.0.170 removed.",3,2
20:24:10,"Worker 192.168.0.116 removed.",2,1
20:24:23,"Worker 192.168.0.170 added.",1,2
20:24:34,"Worker 192.168.0.116 added.",2,3
20:24:42,"Worker 192.168.0.46 added.",3,4
20:24:51,"Worker 192.168.0.219 added.",4,5
20:25:01,"Worker 192.168.0.233 added.",5,6
20:25:10,"Worker 192.168.0.230 added.",6,7
20:25:20,"Worker 192.168.0.170 removed.",7,6
20:25:50,"Worker 192.168.0.116 removed.",6,5
20:26:00,"Worker 192.168.0.46 removed.",5,4
20:26:20,"Worker 192.168.0.219 removed.",4,3
20:26:30,"Worker 192.168.0.233 removed.",3,2
20:26:50,"Worker 192.168.0.230 removed.",2,1
20:27:32,"Worker 192.168.0.170 added.",1,2
20:27:44,"Worker 192.168.0.116 added.",2,3
20:27:52,"Worker 192.168.0.46 added.",3,4
20:28:01,"Worker 192.168.0.219 added.",4,5
20:28:42,"Worker 192.168.0.233 added.",5,6
20:28:51,"Worker 192.168.0.230 added.",6,7
20:29:10,"Worker 192.168.0.170 removed.",7,6
20:29:20,"Worker 192.168.0.116 removed.",6,5
20:29:30,"Worker 192.168.0.46 removed.",5,4
20:29:40,"Worker 192.168.0.219 removed.",4,3
20:29:50,"Worker 192.168.0.233 removed.",3,2
20:30:10,"Worker 192.168.0.230 removed.",2,1
20:30:53,"Worker 192.168.0.170 added.",1,2
20:31:03,"Worker 192.168.0.116 added.",2,3
20:31:12,"Worker 192.168.0.46 added.",3,4
20:31:21,"Worker 192.168.0.219 added.",4,5
20:31:31,"Worker 192.168.0.170 removed.",5,4
20:31:52,"Worker 192.168.0.170 added.",4,5
20:32:02,"Worker 192.168.0.233 added.",5,6
20:32:11,"Worker 192.168.0.230 added.",6,7
20:32:31,"Worker 192.168.0.170 removed.",7,6
20:32:41,"Worker 192.168.0.116 removed.",6,5
20:32:51,"Worker 192.168.0.46 removed.",5,4
20:33:01,"Worker 192.168.0.219 removed.",4,3
20:33:11,"Worker 192.168.0.233 removed.",3,2
20:33:21,"Worker 192.168.0.230 removed.",2,1
20:33:33,"Worker 192.168.0.170 added.",1,2
20:33:41,"Worker 192.168.0.116 added.",2,3
20:33:51,"Worker 192.168.0.170 removed.",3,2
20:34:01,"Worker 192.168.0.116 removed.",2,1
20:34:12,"Worker 192.168.0.170 added.",1,2
20:34:22,"Worker 192.168.0.116 added.",2,3
20:34:31,"Worker 192.168.0.46 added.",3,4
20:35:11,"Worker 192.168.0.219 added.",4,5
20:35:21,"Worker 192.168.0.233 added.",5,6
20:35:31,"Worker 192.168.0.230 added.",6,7
20:35:50,"Worker 192.168.0.170 removed.",7,6
20:36:00,"Worker 192.168.0.116 removed.",6,5
20:36:10,"Worker 192.168.0.46 removed.",5,4
20:36:20,"Worker 192.168.0.219 removed.",4,3
20:36:30,"Worker 192.168.0.233 removed.",3,2
20:36:40,"Worker 192.168.0.230 removed.",2,1
20:36:52,"Worker 192.168.0.170 added.",1,2
20:37:00,"Worker 192.168.0.116 added.",2,3
20:37:11,"Worker 192.168.0.170 removed.",3,2
20:37:21,"Worker 192.168.0.116 removed.",2,1
20:37:32,"Worker 192.168.0.170 added.",1,2
20:37:42,"Worker 192.168.0.116 added.",2,3
20:37:51,"Worker 192.168.0.46 added.",3,4
20:38:21,"Worker 192.168.0.219 added.",4,5
20:38:32,"Worker 192.168.0.233 added.",5,6
20:38:41,"Worker 192.168.0.230 added.",6,7
20:39:00,"Worker 192.168.0.170 removed.",7,6
20:39:10,"Worker 192.168.0.116 removed.",6,5
20:39:20,"Worker 192.168.0.46 removed.",5,4
20:39:30,"Worker 192.168.0.219 removed.",4,3
20:39:50,"Worker 192.168.0.233 removed.",3,2
20:40:10,"Worker 192.168.0.230 removed.",2,1
20:40:52,"Worker 192.168.0.170 added.",1,2
20:41:02,"Worker 192.168.0.116 added.",2,3
20:41:11,"Worker 192.168.0.46 added.",3,4
20:41:52,"Worker 192.168.0.219 added.",4,5
20:42:02,"Worker 192.168.0.233 added.",5,6
20:42:12,"Worker 192.168.0.230 added.",6,7
20:42:30,"Worker 192.168.0.170 removed.",7,6
20:42:40,"Worker 192.168.0.116 removed.",6,5
20:42:50,"Worker 192.168.0.46 removed.",5,4
20:43:00,"Worker 192.168.0.219 removed.",4,3
20:43:11,"Worker 192.168.0.233 removed.",3,2
20:43:21,"Worker 192.168.0.230 removed.",2,1
20:43:32,"Worker 192.168.0.170 added.",1,2
20:43:41,"Worker 192.168.0.116 added.",2,3
20:44:01,"Worker 192.168.0.170 removed.",3,2
20:44:11,"Worker 192.168.0.116 removed.",2,1
20:44:23,"Worker 192.168.0.170 added.",1,2
20:44:33,"Worker 192.168.0.116 added.",2,3
20:44:42,"Worker 192.168.0.46 added.",3,4
20:44:52,"Worker 192.168.0.219 added.",4,5
20:45:02,"Worker 192.168.0.233 added.",5,6
20:45:11,"Worker 192.168.0.230 added.",6,7
20:45:30,"Worker 192.168.0.170 removed.",7,6
20:45:40,"Worker 192.168.0.116 removed.",6,5
20:46:00,"Worker 192.168.0.46 removed.",5,4
20:46:20,"Worker 192.168.0.219 removed.",4,3
20:46:30,"Worker 192.168.0.233 removed.",3,2
20:46:40,"Worker 192.168.0.230 removed.",2,1
20:46:51,"Worker 192.168.0.170 added.",1,2
20:47:00,"Worker 192.168.0.116 added.",2,3
20:47:20,"Worker 192.168.0.170 removed.",3,2
20:47:30,"Worker 192.168.0.116 removed.",2,1
20:47:44,"Worker 192.168.0.170 added.",1,2
20:47:53,"Worker 192.168.0.116 added.",2,3
20:48:02,"Worker 192.168.0.46 added.",3,4
20:48:12,"Worker 192.168.0.219 added.",4,5
20:48:21,"Worker 192.168.0.233 added.",5,6
20:49:20,"Worker 192.168.0.170 removed.",6,5
20:49:30,"Worker 192.168.0.116 removed.",5,4
20:49:40,"Worker 192.168.0.46 removed.",4,3
20:50:00,"Worker 192.168.0.219 removed.",3,2
20:50:10,"Worker 192.168.0.233 removed.",2,1
