worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge, [DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,10:27:24,10:27:2,4042.5572999999995,2313.8978448275866,1,5.8,96.4,0.9,99.1,0.0,7.6,0.6,1.4,910731.2,93980.8,88007.2,54006.0,687029.6,0.0,42354.0,100.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0.0,31.2,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:27:34,10:27:3,2016.0244999999995,1037.7413636363638,1,5.5,96.0,0.7,99.3,0.0,101.6,1.0,6.1,913375.6,91336.4,87996.4,54258.8,689441.2,0.0,42545.6,100.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,40.6,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:27:44,10:27:4,7459.59195,4233.257538461538,1,5.2,95.9,0.9,99.1,0.0,8.8,0.9,1.0,908536.4,96175.6,88071.2,50430.0,691451.6,0.0,38170.8,100.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,38.4,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:27:54,10:27:5,10517.0175,3743.3131267605636,2,7.1,97.4,0.4,99.6,0.0,6.4,0.7,0.7,913772.4,90939.6,87882.0,52492.4,695385.2,0.0,38672.8,100.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:03,10:28:0,5647.822099999999,3332.122742857142,1,7.0,95.8,0.8,99.2,0.0,6.4,0.7,0.9,914965.2,89746.8,88114.8,53008.0,694682.8,0.0,39524.0,100.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,0.0,41.1,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:13,10:28:1,9931.41425,3387.872513157895,2,7.6,97.3,0.2,99.8,0.0,181.2,1.0,0.8,912284.0,92428.0,88119.6,52569.6,691330.4,0.0,40480.4,100.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:21,10:28:2,3195.5213999999987,1201.5575918367354,3,9.8,90.4,6.3,93.7,0.0,6.8,0.9,0.9,914204.0,90508.0,88511.2,53529.2,692048.0,0.0,41139.2,100.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,28.7,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:32,10:28:3,237.01495,190.5939599999999,4,10.0,81.2,17.0,83.0,0.0,140.7,1.2,0.8,914488.8,90223.2,88577.6,53885.2,691362.4,0.0,42125.2,100.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,0.0,25.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:42,10:28:4,253.53349999999998,198.78877999999995,5,10.0,49.0,47.8,51.5,0.0,10.0,0.8,3.0,914536.0,90176.0,88457.6,54482.0,691694.4,0.0,42437.2,100.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0,16.9,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,10:28:51,10:28:5,247.5206499999999,200.5062800000001,6,10.0,42.0,53.3,45.2,0.0,10.0,0.7,5.8,903620.8,101091.2,87341.6,51720.0,691008.8,0.0,36970.8,100.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,14.7,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
