time,notification,actual_vm_number_was,actual_vm_number_is
13:03:44,"Worker 192.168.0.116 added.",1,2
13:03:53,"Worker 192.168.0.46 added.",2,3
13:04:02,"Worker 192.168.0.219 added.",3,4
13:04:12,"Worker 192.168.0.233 added.",4,5
13:04:51,"Worker 192.168.0.230 added.",5,6
13:05:01,"Worker 192.168.0.243 added.",6,7
13:05:42,"Worker 192.168.0.116 removed.",7,6
13:05:51,"Worker 192.168.0.46 removed.",6,5
13:06:01,"Worker 192.168.0.219 removed.",5,4
13:06:12,"Worker 192.168.0.233 removed.",4,3
13:06:21,"Worker 192.168.0.230 removed.",3,2
13:06:52,"Worker 192.168.0.243 removed.",2,1
13:07:03,"Worker 192.168.0.116 added.",1,2
13:07:13,"Worker 192.168.0.46 added.",2,3
13:07:22,"Worker 192.168.0.219 added.",3,4
13:07:31,"Worker 192.168.0.233 added.",4,5
13:07:51,"Worker 192.168.0.116 removed.",5,4
13:08:02,"Worker 192.168.0.116 added.",4,5
13:08:12,"Worker 192.168.0.230 added.",5,6
13:08:22,"Worker 192.168.0.243 added.",6,7
13:08:41,"Worker 192.168.0.116 removed.",7,6
13:08:51,"Worker 192.168.0.46 removed.",6,5
13:09:01,"Worker 192.168.0.219 removed.",5,4
13:09:11,"Worker 192.168.0.233 removed.",4,3
13:09:31,"Worker 192.168.0.230 removed.",3,2
13:09:51,"Worker 192.168.0.243 removed.",2,1
13:10:24,"Worker 192.168.0.116 added.",1,2
13:10:33,"Worker 192.168.0.46 added.",2,3
13:10:42,"Worker 192.168.0.219 added.",3,4
13:10:51,"Worker 192.168.0.233 added.",4,5
13:11:11,"Worker 192.168.0.116 removed.",5,4
13:11:32,"Worker 192.168.0.116 added.",4,5
13:11:42,"Worker 192.168.0.230 added.",5,6
13:11:51,"Worker 192.168.0.243 added.",6,7
13:12:11,"Worker 192.168.0.116 removed.",7,6
13:12:21,"Worker 192.168.0.46 removed.",6,5
13:12:31,"Worker 192.168.0.219 removed.",5,4
13:12:41,"Worker 192.168.0.233 removed.",4,3
13:12:51,"Worker 192.168.0.230 removed.",3,2
13:13:02,"Worker 192.168.0.243 removed.",2,1
13:13:44,"Worker 192.168.0.116 added.",1,2
13:13:54,"Worker 192.168.0.46 added.",2,3
13:14:03,"Worker 192.168.0.219 added.",3,4
13:14:12,"Worker 192.168.0.233 added.",4,5
13:14:31,"Worker 192.168.0.116 removed.",5,4
13:14:42,"Worker 192.168.0.116 added.",4,5
13:14:52,"Worker 192.168.0.230 added.",5,6
13:15:01,"Worker 192.168.0.243 added.",6,7
13:15:21,"Worker 192.168.0.116 removed.",7,6
13:15:31,"Worker 192.168.0.46 removed.",6,5
13:15:41,"Worker 192.168.0.219 removed.",5,4
13:15:51,"Worker 192.168.0.233 removed.",4,3
13:16:11,"Worker 192.168.0.230 removed.",3,2
13:16:31,"Worker 192.168.0.243 removed.",2,1
13:17:04,"Worker 192.168.0.116 added.",1,2
13:17:13,"Worker 192.168.0.46 added.",2,3
13:17:23,"Worker 192.168.0.219 added.",3,4
13:17:31,"Worker 192.168.0.233 added.",4,5
13:17:51,"Worker 192.168.0.116 removed.",5,4
13:18:01,"Worker 192.168.0.116 added.",4,5
13:18:12,"Worker 192.168.0.230 added.",5,6
13:18:22,"Worker 192.168.0.243 added.",6,7
13:18:41,"Worker 192.168.0.116 removed.",7,6
13:18:51,"Worker 192.168.0.46 removed.",6,5
13:19:01,"Worker 192.168.0.219 removed.",5,4
13:19:11,"Worker 192.168.0.233 removed.",4,3
13:19:21,"Worker 192.168.0.230 removed.",3,2
13:20:12,"Worker 192.168.0.243 removed.",2,1
13:20:23,"Worker 192.168.0.116 added.",1,2
13:20:33,"Worker 192.168.0.46 added.",2,3
13:20:43,"Worker 192.168.0.219 added.",3,4
13:20:52,"Worker 192.168.0.233 added.",4,5
13:21:11,"Worker 192.168.0.116 removed.",5,4
13:21:22,"Worker 192.168.0.116 added.",4,5
13:21:32,"Worker 192.168.0.230 added.",5,6
13:21:42,"Worker 192.168.0.243 added.",6,7
13:22:01,"Worker 192.168.0.116 removed.",7,6
13:22:11,"Worker 192.168.0.46 removed.",6,5
13:22:21,"Worker 192.168.0.219 removed.",5,4
13:22:31,"Worker 192.168.0.233 removed.",4,3
13:22:51,"Worker 192.168.0.230 removed.",3,2
13:23:01,"Worker 192.168.0.243 removed.",2,1
13:23:44,"Worker 192.168.0.116 added.",1,2
13:23:52,"Worker 192.168.0.46 added.",2,3
13:24:02,"Worker 192.168.0.219 added.",3,4
13:24:11,"Worker 192.168.0.233 added.",4,5
13:24:31,"Worker 192.168.0.116 removed.",5,4
13:24:42,"Worker 192.168.0.116 added.",4,5
13:24:52,"Worker 192.168.0.230 added.",5,6
13:25:02,"Worker 192.168.0.243 added.",6,7
13:25:21,"Worker 192.168.0.116 removed.",7,6
13:25:31,"Worker 192.168.0.46 removed.",6,5
13:25:41,"Worker 192.168.0.219 removed.",5,4
13:25:51,"Worker 192.168.0.233 removed.",4,3
13:26:11,"Worker 192.168.0.230 removed.",3,2
13:26:22,"Worker 192.168.0.243 removed.",2,1
13:27:04,"Worker 192.168.0.116 added.",1,2
13:27:13,"Worker 192.168.0.46 added.",2,3
13:27:22,"Worker 192.168.0.219 added.",3,4
13:27:31,"Worker 192.168.0.233 added.",4,5
13:27:42,"Worker 192.168.0.116 removed.",5,4
13:28:03,"Worker 192.168.0.116 added.",4,5
13:28:12,"Worker 192.168.0.230 added.",5,6
13:28:22,"Worker 192.168.0.243 added.",6,7
13:28:41,"Worker 192.168.0.116 removed.",7,6
13:28:51,"Worker 192.168.0.46 removed.",6,5
13:29:01,"Worker 192.168.0.219 removed.",5,4
13:29:11,"Worker 192.168.0.233 removed.",4,3
13:29:31,"Worker 192.168.0.230 removed.",3,2
13:29:42,"Worker 192.168.0.243 removed.",2,1
13:30:26,"Worker 192.168.0.116 added.",1,2
13:30:35,"Worker 192.168.0.46 added.",2,3
13:30:43,"Worker 192.168.0.219 added.",3,4
13:30:52,"Worker 192.168.0.233 added.",4,5
13:31:11,"Worker 192.168.0.116 removed.",5,4
13:31:21,"Worker 192.168.0.116 added.",4,5
13:31:32,"Worker 192.168.0.230 added.",5,6
13:31:42,"Worker 192.168.0.243 added.",6,7
13:32:01,"Worker 192.168.0.116 removed.",7,6
13:32:11,"Worker 192.168.0.46 removed.",6,5
13:32:21,"Worker 192.168.0.219 removed.",5,4
13:32:31,"Worker 192.168.0.233 removed.",4,3
13:33:01,"Worker 192.168.0.230 removed.",3,2
13:33:21,"Worker 192.168.0.243 removed.",2,1
13:33:43,"Worker 192.168.0.116 added.",1,2
13:33:53,"Worker 192.168.0.46 added.",2,3
13:34:03,"Worker 192.168.0.219 added.",3,4
13:34:12,"Worker 192.168.0.233 added.",4,5
13:34:31,"Worker 192.168.0.116 removed.",5,4
13:34:42,"Worker 192.168.0.116 added.",4,5
13:34:52,"Worker 192.168.0.230 added.",5,6
13:35:02,"Worker 192.168.0.243 added.",6,7
13:35:21,"Worker 192.168.0.116 removed.",7,6
13:35:31,"Worker 192.168.0.46 removed.",6,5
