worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,12:58:36,12:58:3,1149.347,1149.347,1,0.1,20.9,66.1,23.6,0.0,38.4,0.9,19.2,939512.0,65200.0,89096.8,62213.2,641235.6,0.0,94161.2,100.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,5.7,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:58:43,12:58:4,256.698,256.698,3,0.1,24.9,54.1,32.0,0.0,45.6,0.8,25.0,918780.0,85932.0,89308.4,57892.0,646549.6,0.0,68812.8,100.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,11.7,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:58:51,12:58:5,1026.9995,473.94536363636365,4,1.1,22.6,71.0,27.6,0.0,7.6,0.8,4.4,913482.4,91229.6,89408.8,57412.0,645189.6,0.0,61618.4,100.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,11.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:01,12:59:0,852.6230999999999,393.61,6,1.0,10.3,86.7,13.2,0.0,6.0,0.8,0.5,912320.4,92391.6,89408.0,57350.4,643065.6,0.0,61862.8,100.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,4.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:11,12:59:1,335.53999999999996,257.8744545454545,5,1.1,12.2,84.5,15.2,0.0,168.2,0.9,1.3,913486.4,91225.6,89437.2,58030.0,643532.4,0.0,62524.0,100.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:21,12:59:2,357.2055999999999,266.9859,4,1.0,14.0,83.4,16.4,0.0,7.2,0.8,0.6,914376.4,90335.6,89821.2,58578.0,643670.0,0.0,62706.8,100.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,6.3,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:31,12:59:3,276.73775,244.88885714285715,5,1.4,13.3,82.9,15.6,0.0,6.0,1.6,3.0,911330.4,93381.6,88481.6,58792.4,645650.8,0.0,60332.4,100.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:41,12:59:4,326.9614,256.49685,6,2.0,17.2,79.7,20.1,0.0,151.2,0.8,1.3,912286.0,92426.0,89100.8,59037.6,644382.4,0.0,61753.6,100.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,9.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,12:59:51,12:59:5,278.1017,247.30375000000004,4,2.0,16.7,80.6,19.0,0.0,4.8,1.8,0.8,914428.0,90284.0,89160.4,59716.0,646176.0,0.0,61937.2,100.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,8.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,13:00:01,13:00:0,270.5188500000001,229.24394999999998,2,2.0,28.4,68.2,31.7,0.0,9.2,0.8,0.6,914358.4,90353.6,89221.2,59770.4,645520.0,0.0,62338.8,100.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,11.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
