time,notification,actual_vm_number_was,actual_vm_number_is
16:33:51,"Worker 192.168.0.116 added.",1,2
16:33:52,"Worker 192.168.0.46 added.",2,3
16:34:01,"Worker 192.168.0.116 removed.",3,2
16:34:01,"Worker 192.168.0.46 removed.",2,1
16:34:21,"Worker 192.168.0.116 added.",1,2
16:34:21,"Worker 192.168.0.46 added.",2,3
16:34:21,"Worker 192.168.0.219 added.",3,4
16:34:30,"Worker 192.168.0.116 removed.",4,3
16:34:40,"Worker 192.168.0.46 removed.",3,2
16:34:40,"Worker 192.168.0.219 removed.",2,1
16:35:30,"Worker 192.168.0.116 added.",1,2
16:35:40,"Worker 192.168.0.116 removed.",2,1
16:35:50,"Worker 192.168.0.116 added.",1,2
16:35:50,"Worker 192.168.0.46 added.",2,3
16:36:00,"Worker 192.168.0.219 added.",3,4
16:36:00,"Worker 192.168.0.233 added.",4,5
16:36:00,"Worker 192.168.0.230 added.",5,6
16:36:12,"Worker 192.168.0.243 added.",6,7
16:36:22,"Worker 192.168.0.145 added.",7,8
16:36:22,"Worker 192.168.0.166 added.",8,9
16:36:51,"Worker 192.168.0.116 removed.",9,8
16:37:02,"Worker 192.168.0.46 removed.",8,7
16:37:12,"Worker 192.168.0.219 removed.",7,6
16:37:22,"Worker 192.168.0.116 added.",6,7
16:37:22,"Worker 192.168.0.46 added.",7,8
16:37:22,"Worker 192.168.0.219 added.",8,9
16:37:32,"Worker 192.168.0.116 removed.",9,8
16:37:32,"Worker 192.168.0.46 removed.",8,7
16:37:32,"Worker 192.168.0.219 removed.",7,6
16:37:42,"Worker 192.168.0.233 removed.",6,5
16:37:42,"Worker 192.168.0.230 removed.",5,4
16:37:51,"Worker 192.168.0.243 removed.",4,3
16:37:51,"Worker 192.168.0.145 removed.",3,2
16:37:51,"Worker 192.168.0.166 removed.",2,1
16:38:22,"Worker 192.168.0.116 added.",1,2
16:38:22,"Worker 192.168.0.46 added.",2,3
16:38:32,"Worker 192.168.0.116 removed.",3,2
16:38:32,"Worker 192.168.0.46 removed.",2,1
16:38:42,"Worker 192.168.0.116 added.",1,2
16:38:42,"Worker 192.168.0.46 added.",2,3
16:38:52,"Worker 192.168.0.116 removed.",3,2
16:39:02,"Worker 192.168.0.116 added.",2,3
16:39:02,"Worker 192.168.0.219 added.",3,4
16:39:11,"Worker 192.168.0.233 added.",4,5
16:39:12,"Worker 192.168.0.230 added.",5,6
16:39:21,"Worker 192.168.0.116 removed.",6,5
16:39:21,"Worker 192.168.0.46 removed.",5,4
16:39:21,"Worker 192.168.0.219 removed.",4,3
16:39:32,"Worker 192.168.0.233 removed.",3,2
16:39:32,"Worker 192.168.0.230 removed.",2,1
16:39:42,"Worker 192.168.0.116 added.",1,2
16:39:50,"Worker 192.168.0.46 added.",2,3
16:39:50,"Worker 192.168.0.219 added.",3,4
16:40:00,"Worker 192.168.0.233 added.",4,5
16:40:00,"Worker 192.168.0.230 added.",5,6
16:40:12,"Worker 192.168.0.243 added.",6,7
16:40:12,"Worker 192.168.0.145 added.",7,8
16:40:22,"Worker 192.168.0.166 added.",8,9
16:40:32,"Worker 192.168.0.116 removed.",9,8
16:40:32,"Worker 192.168.0.46 removed.",8,7
16:40:43,"Worker 192.168.0.219 removed.",7,6
16:40:52,"Worker 192.168.0.233 removed.",6,5
16:40:52,"Worker 192.168.0.230 removed.",5,4
16:41:02,"Worker 192.168.0.116 added.",4,5
16:41:02,"Worker 192.168.0.46 added.",5,6
16:41:12,"Worker 192.168.0.116 removed.",6,5
16:41:12,"Worker 192.168.0.46 removed.",5,4
16:41:12,"Worker 192.168.0.243 removed.",4,3
16:41:22,"Worker 192.168.0.145 removed.",3,2
16:41:31,"Worker 192.168.0.116 added.",2,3
16:41:31,"Worker 192.168.0.46 added.",3,4
16:41:31,"Worker 192.168.0.219 added.",4,5
16:41:41,"Worker 192.168.0.116 removed.",5,4
16:41:41,"Worker 192.168.0.46 removed.",4,3
