worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge,[DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive,[NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,07:04:51,07:04:5,87.38779999999998,44.885000000000005,1,0.5,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:01,07:05:0,56.67945,34.371833333333335,1,1.2,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:10,07:05:1,49.075,30.13218181818182,1,1.1,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:20,07:05:2,589.4159499999998,113.76911111111112,3,1.8,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:31,07:05:3,50.78050000000001,28.36005,1,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:41,07:05:4,54.57505,37.37035,2,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:05:51,07:05:5,51.886750000000006,28.5614,1,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:06:00,07:06:0,38.715500000000006,26.863250000000004,1,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:06:11,07:06:1,35.956900000000005,18.949149999999996,1,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
192.168.0.170,07:06:20,07:06:2,39.1002,24.142349999999997,1,2.0,1.111111,98.0,1.444444,1.0,0.0,20.0,0.444444,1.111111,1.333333,9.777778,1.111111,3.666667,0.111111,1.111111,1.444444,1.0,943687.555556,61024.444444,91072.444444,81884.444444,680022.222222,0.0,64116.0,100.0,9.111111,9.111111,6.222222,9.111111,6.222222
