time,notification,actual_vm_number_was,actual_vm_number_is
08:39:14,"Worker 192.168.0.73 added.",1,2
08:39:14,"Worker 192.168.0.91 added.",2,3
08:39:20,"Worker 192.168.0.73 removed.",3,2
08:39:37,"Worker 192.168.0.73 added.",2,3
08:39:37,"Worker 192.168.0.93 added.",3,4
08:39:42,"Worker 192.168.0.73 removed.",4,3
08:39:54,"Worker 192.168.0.91 removed.",3,2
08:39:54,"Worker 192.168.0.93 removed.",2,1
08:40:18,"Worker 192.168.0.73 added.",1,2
08:40:18,"Worker 192.168.0.91 added.",2,3
08:40:18,"Worker 192.168.0.93 added.",3,4
08:40:23,"Worker 192.168.0.146 added.",4,5
08:40:23,"Worker 192.168.0.148 added.",5,6
08:40:23,"Worker 192.168.0.192 added.",6,7
08:40:30,"Worker 192.168.0.73 removed.",7,6
08:40:30,"Worker 192.168.0.91 removed.",6,5
08:40:30,"Worker 192.168.0.93 removed.",5,4
08:40:40,"Worker 192.168.0.73 added.",4,5
08:40:50,"Worker 192.168.0.91 added.",5,6
08:40:50,"Worker 192.168.0.93 added.",6,7
08:40:50,"Worker 192.168.0.220 added.",7,8
08:41:00,"Worker 192.168.0.73 removed.",8,7
08:41:00,"Worker 192.168.0.91 removed.",7,6
08:41:00,"Worker 192.168.0.93 removed.",6,5
08:41:10,"Worker 192.168.0.146 removed.",5,4
08:41:10,"Worker 192.168.0.148 removed.",4,3
08:41:10,"Worker 192.168.0.192 removed.",3,2
08:41:20,"Worker 192.168.0.73 added.",2,3
08:41:32,"Worker 192.168.0.73 removed.",3,2
08:41:32,"Worker 192.168.0.220 removed.",2,1
08:42:09,"Worker 192.168.0.73 added.",1,2
08:42:09,"Worker 192.168.0.91 added.",2,3
08:42:11,"Worker 192.168.0.93 added.",3,4
08:42:14,"Worker 192.168.0.146 added.",4,5
08:42:22,"Worker 192.168.0.148 added.",5,6
08:42:31,"Worker 192.168.0.73 removed.",6,5
08:42:32,"Worker 192.168.0.91 removed.",5,4
08:42:32,"Worker 192.168.0.93 removed.",4,3
08:42:40,"Worker 192.168.0.146 removed.",3,2
