worker_give_metrics,write_to_csv_time,time,response_time_p95,response_time,worker_number,request_rate,CPU0User%,CPU0Idle%,CPU0Total%,CPU1User%,CPU1Idle%,CPU1Total%,[DSK:sda]Reads,[DSK:sda]RMerge,[DSK:sda]RKBytes,[DSK:sda]WaitR,[DSK:sda]Writes,[DSK:sda]WMerge, [DSK:sda]WKBytes,[DSK:sda]WaitW,[DSK:sda]Request,[DSK:sda]QueLen,[DSK:sda]Wait,[DSK:sda]SvcTim,[DSK:sda]Util,[NUMA:0]Used,[NUMA:0]Free,[NUMA:0]Slab,[NUMA:0]Mapped,[NUMA:0]Anon,[NUMA:0]AnonH,[NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives,[TCPD]InDelivers,[TCPD]OutRequests,[TCPD]InSegs,[TCPD]OutSegs
192.168.0.170,16:30:04,16:30:0,124.1798,95.74400000000001,1,0.3,8.7,69.2,13.7,0.0,53.2,1.2,26.5,931100.0,73612.0,87352.8,58894.8,691244.4,0.0,70030.8,100.0,0.0,0.0,23.7,0.0,0.0,0.0,0.0,0.0,23.7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:30:15,16:30:1,242.17419999999998,163.97377777777777,2,0.9,7.7,89.1,9.6,0.0,6.8,0.8,3.5,901800.8,102911.2,88319.2,47840.8,690199.6,0.0,37758.4,100.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,15.5,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:30:24,16:30:2,461.69979999999987,294.61257142857136,3,0.7,15.3,78.4,19.9,0.0,6.8,1.0,5.2,910666.8,94045.2,88673.6,51215.6,693818.4,0.0,37946.4,100.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,21.1,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:30:31,16:30:3,347.2534,170.73317647058826,2,1.7,13.3,82.1,17.7,0.0,10.4,0.8,1.6,912808.8,91903.2,88728.8,52609.6,692764.0,0.0,39778.8,100.0,0.0,0.0,37.4,0.0,0.0,0.0,0.0,0.0,37.4,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:30:41,16:30:4,191.23499999999993,91.79636842105263,1,5.7,16.3,79.1,19.8,0.0,233.1,0.6,3.8,913612.4,91099.6,88607.2,53566.0,691376.0,0.0,42052.4,100.0,0.0,0.0,168.4,0.0,0.0,0.0,0.0,0.0,168.4,166.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:30:51,16:30:5,91.12980000000003,69.693974025974,2,7.7,14.1,82.0,17.1,0.0,12.8,0.8,2.6,908949.6,95762.4,88238.0,50898.0,690838.0,0.0,43049.2,100.0,0.0,0.0,115.5,0.0,0.0,0.0,0.0,0.0,115.5,114.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:31:01,16:31:0,90.08180000000002,68.57090804597702,1,8.7,21.6,73.8,25.8,0.0,8.0,1.3,1.9,913265.6,91446.4,88300.4,53406.0,692368.4,0.0,45017.6,100.0,0.0,0.0,237.1,0.0,0.0,0.0,0.0,0.0,237.1,235.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:31:11,16:31:1,107.3374,71.64412000000002,1,10.0,20.5,75.3,23.8,0.0,167.6,1.1,2.1,914565.6,90146.4,88231.2,54946.8,691048.4,0.0,46479.2,100.0,0.0,0.0,274.1,0.0,0.0,0.0,0.0,0.0,274.1,270.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:31:21,16:31:2,118.31484999999998,83.02311403508774,1,11.4,25.9,68.7,29.8,0.0,7.2,1.2,3.9,915710.0,89002.0,88341.2,56193.6,692012.0,0.0,47083.2,100.0,0.0,0.0,317.6,0.0,0.0,0.0,0.0,0.0,317.6,313.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.168.0.170,16:31:31,16:31:3,101.89325,73.6412222222222,1,12.6,25.3,69.3,28.5,0.0,6.4,0.8,4.6,911457.6,93254.4,87895.6,55558.0,690914.8,0.0,45429.2,100.0,0.0,0.0,346.1,0.0,0.0,0.0,0.0,0.0,346.1,341.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
