time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
18:07:3,5619.0842,3357.256121212121,2,3.3,95.3,3.9,96.1,95.1,4.0,96.0,0.0,0.0,0.0,0.0,0.5,0.9,7.6,1.2,5.2,0.1,1.2,1.7,0.3,3577534.8,453005.2,277672.0,262237.2,1201518.0,0.0,1111696.8,100.0,12.2,12.2,12.6,12.2,12.8
18:07:4,7138.459499999999,5739.8465,2,3.4,94.9,3.4,96.6,94.5,4.3,95.7,0.0,0.0,0.0,0.0,2.6,2.5,24.0,0.5,8.1,0.2,0.5,0.9,0.4,3582045.2,448494.8,277961.2,261625.2,1204602.4,0.0,1111690.4,100.0,11.7,11.7,12.5,11.7,12.9
18:07:5,7246.5166,5717.215242424242,2,3.3,93.5,3.9,96.1,94.3,4.3,95.7,0.0,0.0,0.0,0.0,2.6,2.7,24.0,0.6,5.7,0.1,0.6,1.0,0.5,3582103.6,448436.4,278040.0,262295.6,1204817.6,0.0,1111693.6,100.0,16.4,16.4,16.8,16.4,17.4
18:08:0,7000.4212,5579.7642068965515,2,2.9,94.5,3.9,96.1,95.1,3.7,96.3,0.0,0.0,0.0,0.0,34.2,1.9,166.8,0.5,6.5,0.0,0.5,1.2,0.4,3581496.0,449044.0,277994.4,261946.4,1204623.6,0.0,1111717.6,100.0,10.5,10.5,11.7,10.5,11.9
18:08:1,6412.344,4424.229567567568,3,3.7,94.5,3.5,96.5,93.6,4.1,95.9,0.0,0.0,0.0,0.0,34.5,3.4,174.8,1.0,11.3,0.0,1.0,2.4,0.6,3584640.4,445899.6,278198.8,262532.8,1207575.2,0.0,1111732.0,100.0,16.0,16.0,17.2,16.0,17.8
18:08:2,4832.84725,3833.8431249999994,3,4.8,94.7,3.6,96.4,94.3,4.3,95.7,0.0,0.0,0.0,0.0,2.9,4.6,34.0,1.1,9.6,0.2,1.1,2.1,0.6,3580682.4,449857.6,278035.6,262005.2,1203932.0,0.0,1111728.8,100.0,13.6,13.6,14.9,13.1,14.9
18:08:3,4934.2988,3788.5459361702133,3,4.7,95.5,3.5,96.5,93.9,4.5,95.5,0.0,0.0,0.0,0.0,0.6,2.5,16.8,0.7,8.8,0.0,0.7,1.9,0.4,3582246.8,448293.2,278140.0,262026.4,1205236.0,0.0,1111860.8,100.0,14.4,14.4,15.4,13.7,15.1
18:08:4,4721.98045,3799.3033541666664,3,4.8,94.7,3.7,96.3,94.7,3.6,96.4,0.0,0.0,0.0,0.0,37.4,3.4,192.9,0.8,8.5,0.0,0.8,1.7,0.6,3580908.8,449631.2,278292.0,262040.0,1203705.6,0.0,1111865.6,100.0,12.8,12.8,13.5,12.8,13.9
18:08:5,4374.5219,2978.897,4,6.2,95.0,3.4,96.6,94.7,4.0,96.0,0.0,0.0,0.0,0.0,2.3,3.3,25.2,2.0,8.9,0.1,2.0,2.4,0.2,3581347.2,449192.8,278345.2,261765.6,1204148.8,0.0,1111865.6,100.0,11.8,11.8,13.2,11.8,13.6
18:09:0,3396.7316499999997,2929.3154193548385,4,6.2,94.5,3.6,96.4,94.1,4.1,95.9,0.0,0.0,0.0,0.0,0.5,2.4,14.0,0.9,8.4,0.0,0.9,1.6,0.4,3580998.4,449541.6,278437.6,261955.2,1203821.2,0.0,1112008.0,100.0,14.6,14.6,16.0,14.6,16.6
18:09:1,3553.4913,2910.5875373134336,4,6.7,94.9,3.6,96.4,95.4,3.4,96.5,0.0,0.0,0.0,0.0,33.7,2.4,170.4,0.8,7.7,0.2,0.8,2.0,0.5,3580062.0,450478.0,278539.6,261764.4,1203317.2,0.0,1112028.0,100.0,11.8,11.8,13.0,11.8,13.4
18:09:2,3369.12075,2875.5536093750006,4,6.4,95.1,3.1,96.9,94.9,3.8,96.2,0.0,0.0,0.0,0.0,1.6,5.2,31.2,1.1,11.9,0.1,1.1,2.1,0.6,3583975.6,446564.4,278761.6,262034.4,1206286.8,0.0,1112029.2,100.0,14.2,14.2,15.8,13.7,15.8
