time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:32:2,10079.6914,6123.7906111111115,1,1.8,93.2,4.0,96.0,93.6,3.9,96.1,0.0,0.0,0.0,0.0,0.6,1.8,11.6,0.9,7.2,0.0,0.9,2.4,0.4,3632697.6,397834.4,208291.6,229984.4,1244218.8,0.0,1153189.2,100.0,12.0,12.0,12.5,12.0,12.7
10:32:3,9998.091,9998.091,1,0.1,93.1,3.8,96.2,93.4,3.4,96.6,0.0,0.0,0.0,0.0,0.6,1.8,11.6,0.9,7.2,0.0,0.9,2.4,0.4,3634918.0,395614.0,208448.4,230582.0,1245883.6,0.0,1153189.2,100.0,13.4,13.4,13.9,13.4,14.3
10:32:4,13031.2361,9658.34047368421,1,1.9,93.3,4.6,95.4,93.7,4.7,95.3,0.0,0.0,0.0,0.0,1.6,3.4,24.0,0.8,6.3,0.2,0.8,1.7,0.4,3613410.8,417121.2,208401.6,228578.0,1223175.6,0.0,1153258.4,100.0,13.0,13.0,13.6,13.0,13.8
10:32:5,11522.286,11522.286,1,0.1,93.3,4.2,95.8,93.4,4.4,95.6,0.0,0.0,0.0,0.0,1.8,4.6,29.6,1.2,9.1,0.3,1.2,2.3,0.5,3614988.8,415543.2,208523.2,228978.4,1224425.6,0.0,1153258.8,100.0,14.3,14.3,14.8,14.3,15.2
10:33:0,9831.3564,4222.35796,2,2.5,92.6,5.2,94.8,93.8,4.2,95.8,0.0,0.0,0.0,0.0,32.1,3.5,182.6,0.5,5.9,0.0,0.5,1.2,0.5,3613474.8,417057.2,208444.8,228723.2,1223986.4,0.0,1153282.0,100.0,12.1,12.1,13.0,12.1,13.2
10:33:1,6476.45145,5754.061789473684,2,3.8,93.8,4.6,95.4,94.9,3.9,96.1,0.0,0.0,0.0,0.0,0.5,1.8,11.2,1.0,6.8,0.0,1.0,2.0,0.4,3612492.0,418040.0,208352.8,228227.2,1223088.8,0.0,1153416.8,100.0,11.3,11.3,12.0,11.3,12.2
10:33:2,6482.578799999999,5673.5597,2,3.0,93.5,3.6,96.4,93.3,4.6,95.4,0.0,0.0,0.0,0.0,23.8,2.4,135.2,0.9,7.3,0.0,0.9,2.0,0.5,3613954.0,416578.0,208514.8,228633.2,1224387.2,0.0,1153417.6,100.0,17.1,17.1,17.7,17.1,18.3
10:33:3,6809.0085,5822.807555555555,2,3.6,94.2,4.8,95.2,94.1,3.6,96.4,0.0,0.0,0.0,0.0,0.5,2.5,14.0,1.0,8.2,0.1,1.0,1.2,0.2,3613056.4,417475.6,208592.0,228264.0,1223069.6,0.0,1153422.0,100.0,10.2,10.2,11.0,10.2,11.2
10:33:4,6219.5549,4404.732131578947,3,3.8,94.4,3.8,96.2,93.7,3.8,96.2,0.0,0.0,0.0,0.0,0.5,1.8,11.2,0.8,6.8,0.0,0.8,1.8,0.3,3616544.0,413988.0,208846.0,228948.8,1225920.8,0.0,1153421.2,100.0,18.3,18.3,18.8,17.8,19.0
10:33:5,4453.305,3893.8066399999993,3,5.0,94.7,4.0,96.0,94.6,3.7,96.3,0.0,0.0,0.0,0.0,26.6,4.1,156.4,1.0,7.5,0.1,1.0,1.6,0.6,3606504.8,424027.2,208639.6,228324.4,1216755.6,0.0,1153424.4,100.0,13.4,13.4,13.1,13.4,13.5
10:34:0,4520.0805,3902.261531914894,3,4.7,92.8,4.7,95.3,94.1,4.0,95.9,0.0,0.0,0.0,0.0,15.6,5.7,103.6,1.4,12.4,0.2,1.4,2.3,1.1,3606146.8,424385.2,208686.4,228706.8,1216264.4,0.0,1153442.0,100.0,15.9,15.9,16.3,15.2,16.0
10:34:1,4586.5552,3603.406755102041,3,4.9,92.4,5.9,94.1,91.9,7.0,93.0,0.0,0.0,0.0,0.0,0.3,1.7,10.4,0.5,6.6,0.1,0.5,1.0,0.1,3604552.8,425979.2,208764.0,228590.0,1215477.6,0.0,1153452.8,100.0,9.8,9.8,10.6,9.8,10.8
10:34:2,4526.147,2987.8427457627117,4,5.9,94.1,3.7,96.3,94.0,4.1,95.9,0.0,0.0,0.0,0.0,21.1,2.7,122.4,0.9,8.1,0.0,0.9,1.8,0.4,3605392.4,425139.6,208843.6,229017.6,1215760.0,0.0,1153453.6,100.0,16.6,16.6,17.2,16.6,17.8
10:34:3,3378.014,2815.1123030303024,4,6.6,93.8,4.3,95.7,93.7,3.4,96.6,0.0,0.0,0.0,0.0,0.5,2.9,13.6,0.9,6.0,0.1,0.9,1.3,0.3,3604336.4,426195.6,209002.4,228799.2,1214943.2,0.0,1153457.6,100.0,15.9,15.9,16.3,15.9,16.9
10:34:4,3281.3959999999997,2701.2874531249995,4,6.4,95.5,2.8,97.2,93.7,4.6,95.4,0.0,0.0,0.0,0.0,22.3,2.2,128.0,0.9,4.7,0.0,0.9,1.6,0.5,3605152.4,425379.6,209127.6,228820.0,1215239.6,0.0,1153470.0,100.0,12.1,12.1,13.0,11.6,12.8
10:34:5,3306.6405999999997,2826.802782608695,4,6.9,95.1,3.7,96.3,94.1,3.9,96.1,0.1,0.0,2.4,0.3,1.9,5.1,30.8,0.8,9.8,0.1,1.1,2.2,0.7,3606634.4,423897.6,209070.4,229227.6,1217027.2,0.0,1153538.4,100.0,13.2,13.2,13.8,13.2,14.2
10:35:0,3202.6117999999997,2377.7847848101273,5,7.9,94.4,3.3,96.7,94.7,2.6,97.4,0.0,0.0,0.0,0.0,1.7,14.4,64.4,1.1,13.5,0.2,1.1,1.2,0.5,3654461.2,376070.8,210379.2,231156.8,1200130.0,0.0,1116625.6,100.0,13.5,13.5,14.2,12.9,13.8
10:35:1,2822.5813,2340.2373670886077,5,7.9,95.0,3.0,97.0,94.4,2.9,97.1,0.0,0.0,0.0,0.0,1.0,16.3,72.4,0.9,20.1,0.1,0.9,1.6,0.3,3656339.6,374192.4,210721.6,226333.2,1201337.2,0.0,1116576.0,100.0,16.7,16.7,17.5,16.1,17.5
10:35:2,2801.0054499999997,2313.602749999999,5,8.0,94.0,3.4,96.6,95.4,3.0,97.0,0.0,0.0,0.0,0.0,2.2,3.9,28.0,0.7,6.5,0.1,0.7,1.3,0.5,3657533.2,372998.8,210733.6,226456.0,1202257.6,0.0,1116581.2,100.0,12.6,12.6,13.4,12.6,13.8
10:35:3,2809.47865,2342.7913375000003,5,8.0,95.0,3.1,96.9,95.2,3.1,96.9,0.0,0.0,0.0,0.0,0.6,2.3,15.6,0.8,7.8,0.1,0.8,1.5,0.3,3657966.0,372566.0,210800.8,226475.2,1202598.8,0.0,1116583.2,100.0,14.0,14.0,14.9,13.5,14.9
10:35:4,2736.8908000000006,1981.49454347826,6,9.2,85.4,10.8,89.2,88.5,9.9,90.1,0.0,0.0,0.0,0.0,3.2,14.9,74.0,0.9,9.6,0.2,0.9,1.6,0.7,3488477.6,542062.4,166952.0,239949.2,1207709.6,0.0,1236424.4,100.0,12.1,12.1,12.6,11.5,12.2
