time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
10:22:0,12382.024599999999,8522.65224137931,1,2.9,94.4,4.0,96.0,94.2,4.2,95.8,1.5,0.0,14.3,0.6,5.5,12.5,79.3,1.2,6.7,0.0,1.3,1.8,1.9,3632656.8,397883.2,201383.6,229026.4,1211381.2,0.0,1176410.0,100.0,13.3,13.3,13.6,13.3,13.8
10:22:1,12416.094,12416.094,1,0.1,94.4,3.3,96.7,95.0,3.4,96.6,2.1,0.0,46.7,1.2,5.6,12.5,80.1,1.2,15.6,0.0,1.8,2.7,2.2,3637797.2,392742.8,201684.4,230651.2,1215824.4,0.0,1176458.8,100.0,18.5,18.5,19.2,17.9,19.2
10:22:2,13699.366,9620.807705882353,1,1.7,95.6,3.5,96.5,94.3,4.4,95.6,0.1,0.0,8.0,0.4,0.5,1.0,7.6,1.2,12.8,0.1,1.6,2.6,0.4,3632249.2,398290.8,201509.6,224680.0,1209888.8,0.0,1176816.4,100.0,13.2,13.2,14.3,12.7,14.1
10:22:3,11656.059,11656.059,1,0.1,95.3,3.1,96.9,94.4,4.1,95.9,0.1,0.0,8.0,0.4,0.5,1.0,7.6,1.2,12.8,0.1,1.6,2.6,0.4,3633940.0,396600.0,201621.6,224964.8,1211289.2,0.0,1176825.6,100.0,17.8,17.8,19.0,17.3,19.2
10:22:4,6808.899699999996,1786.1518333333333,2,1.2,83.9,14.0,86.0,82.9,14.7,85.3,0.1,0.0,6.4,0.4,3.3,14.3,75.6,1.0,15.1,0.1,1.2,2.3,0.8,3542106.8,488433.2,206708.8,227040.0,1194140.8,0.0,1067758.0,100.0,13.5,13.5,13.2,12.9,12.8
10:22:5,7052.889999999999,5758.3758484848495,2,3.3,94.1,4.4,95.6,94.3,3.9,96.1,0.1,0.0,0.4,0.4,0.5,4.2,20.3,0.7,7.9,0.2,1.1,1.8,0.3,3540186.0,490354.0,206806.0,221994.4,1192006.8,0.0,1067786.0,100.0,11.4,11.4,12.5,11.4,12.7
10:23:0,7188.0798,6056.059363636364,2,3.3,94.8,3.4,96.6,94.0,3.9,96.1,0.0,0.0,0.0,0.0,3.4,5.3,38.8,1.2,9.0,0.2,1.2,1.8,0.5,3542439.2,488100.8,207086.0,221999.2,1193144.4,0.0,1067870.0,100.0,12.6,12.6,13.2,12.6,13.6
10:23:1,6877.689399999999,5906.369655172414,2,2.9,94.8,3.0,97.0,93.8,4.4,95.6,0.0,0.0,0.0,0.0,23.5,2.0,132.4,0.5,6.3,0.1,0.5,1.0,0.2,3542558.4,487981.6,207240.0,221674.0,1192980.4,0.0,1067874.8,100.0,11.9,11.9,12.3,11.9,12.7
10:23:2,6619.650799999999,4478.3005,3,3.8,77.2,21.5,78.5,77.9,20.6,79.4,0.0,0.0,0.0,0.0,2.7,15.0,72.4,1.2,17.3,0.1,1.2,1.8,0.7,3487920.8,542619.2,166116.8,229688.4,1207201.6,0.0,1238884.8,100.0,14.8,14.8,15.2,13.5,14.1
10:23:3,4645.2039,3858.880425531915,3,4.7,94.9,3.6,96.4,94.6,3.6,96.4,0.0,0.0,0.0,0.0,0.7,13.3,58.0,0.8,18.1,0.1,0.8,1.5,0.3,3493803.2,536736.8,166366.4,225751.2,1211808.4,0.0,1238900.8,100.0,18.9,18.9,19.7,17.8,19.3
10:23:4,4690.5072,3790.664775510204,3,4.9,93.7,4.5,95.5,95.6,3.4,96.6,0.0,0.0,0.0,0.0,0.5,1.7,10.4,0.9,6.2,0.2,0.9,1.6,0.2,3490445.2,540094.8,166288.4,225659.6,1208674.0,0.0,1238905.6,100.0,14.5,14.5,14.5,14.5,14.9
10:23:5,4630.6586,3785.733382978723,3,4.7,95.1,4.0,96.0,95.0,4.0,96.0,0.0,0.0,0.0,0.0,0.8,2.2,15.2,0.8,9.0,0.1,0.8,2.2,0.2,3490900.4,539639.6,166447.6,225685.2,1208954.4,0.0,1238934.4,100.0,13.0,13.0,13.6,13.0,14.0
10:24:0,4293.425,2981.736163934425,4,6.1,91.0,6.8,93.1,91.2,6.3,93.7,1.4,3.0,25.6,0.6,3.0,15.2,74.0,1.4,13.6,0.1,1.7,2.8,1.4,3595675.6,434856.4,203918.8,232859.2,1215608.8,0.0,1151433.2,100.0,13.7,13.7,13.8,13.1,13.4
10:24:1,3432.49745,2861.1721093749998,4,6.4,94.2,3.6,96.4,94.2,3.2,96.8,0.2,0.0,24.8,0.3,0.4,3.9,19.6,0.4,19.1,0.1,0.6,1.3,0.2,3599359.6,431172.4,204086.0,227874.8,1217500.0,0.0,1151900.4,100.0,14.1,14.1,15.2,14.1,15.6
