time, response_time_p95, response_time, worker_number, request_rate,CPU0User%, CPU0Idle%, CPU0Total%, CPU1User%, CPU1Idle%, CPU1Total%,[DSK:sda]Reads, [DSK:sda]RMerge, [DSK:sda]RKBytes, [DSK:sda]WaitR, [DSK:sda]Writes, [DSK:sda]WMerge, [DSK:sda]WKBytes, [DSK:sda]WaitW, [DSK:sda]Request, [DSK:sda]QueLen, [DSK:sda]Wait, [DSK:sda]SvcTim, [DSK:sda]Util,[NUMA:0]Used, [NUMA:0]Free, [NUMA:0]Slab, [NUMA:0]Mapped, [NUMA:0]Anon, [NUMA:0]AnonH, [NUMA:0]Inactive, [NUMA:0]Hits,[TCPD]InReceives, [TCPD]InDelivers, [TCPD]OutRequests, [TCPD]InSegs, [TCPD]OutSegs
19:35:4,13.806,13.806,1,0.1,1.3,98.6,1.3,0.0,4.0,0.6,0.2,901255.2,103456.8,85780.0,54152.0,683691.2,0.0,39386.0,100.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:35:5,18.937199999999997,14.196151724137929,1,14.5,7.2,90.4,9.4,0.0,12.0,0.6,0.4,905997.6,98714.4,85840.0,54300.8,687034.8,0.0,39520.0,100.0,0.0,0.0,85.1,0.0,0.0,0.0,0.0,0.0,85.1,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:36:0,13.738799999999994,12.970742957746495,1,28.4,8.1,88.4,11.5,0.0,12.8,0.9,0.3,907195.2,97516.8,85970.0,54340.0,687369.6,0.0,39630.4,100.0,0.0,0.0,153.2,0.0,0.0,0.0,0.0,0.0,153.2,150.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:36:1,13.1501,12.560566666666654,1,66.0,10.7,83.2,14.0,0.0,103.6,1.0,2.5,907739.2,96972.8,86309.6,54412.0,687343.2,0.0,39744.4,100.0,0.0,0.0,340.6,0.0,0.0,0.0,0.0,0.0,340.6,337.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:36:2,13.5498,12.58928791208791,1,45.5,9.3,87.1,12.7,0.0,72.4,0.9,0.7,908267.2,96444.8,86804.4,54490.0,687360.4,0.0,39790.0,100.0,0.0,0.0,243.1,0.0,0.0,0.0,0.0,0.0,243.1,238.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:37:2,15.629999999999999,13.504411764705882,1,1.7,1.1,98.6,1.2,0.0,3.2,0.8,0.4,904724.0,99988.0,86524.8,54723.2,684263.2,0.0,39933.2,100.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:37:5,419.4228999999999,150.05025,1,0.4,3.4,95.7,4.1,0.0,6.4,0.8,0.2,908014.4,96697.6,86613.2,57544.0,685165.6,0.0,42208.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:0,246.211,246.211,2,0.1,13.0,76.0,15.8,0.0,40.0,1.5,16.5,919951.2,84760.8,79638.8,51921.2,680212.8,0.0,63582.4,100.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:1,502.72125,368.47783333333336,3,0.6,25.7,67.1,29.5,0.0,45.2,0.5,25.3,930619.6,74092.4,79396.8,57325.2,743107.2,0.0,37487.2,100.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:2,2168.6406999999954,526.1977096774193,4,6.2,45.0,52.0,47.4,0.0,38.9,1.0,15.8,925654.4,79057.6,82045.6,49192.4,661116.4,0.0,104345.6,100.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,12.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:3,406.61599999999993,220.33351141552518,5,21.9,71.8,26.5,73.2,0.0,6.8,1.0,1.2,912611.6,92100.4,84148.4,57645.2,675463.6,0.0,46461.2,100.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,24.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:4,1833.4154,969.0345643835616,6,36.5,96.7,0.5,99.4,0.0,6.8,1.5,15.0,911241.2,93470.8,80369.2,49683.6,668275.2,0.0,65453.6,100.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,0.0,42.3,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:38:5,2105.1613000000007,1142.1433018181829,7,27.5,63.7,26.8,66.8,0.0,8.0,1.2,24.4,916244.4,88467.6,81384.4,60290.8,658297.6,0.0,77071.6,100.0,0.0,0.0,24.3,0.0,0.0,0.0,0.0,0.0,24.3,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:40:3,312.44919999999996,186.9258148148148,7,2.7,15.2,83.6,16.3,0.0,6.4,0.7,2.5,899976.0,104736.0,82554.0,58608.0,661442.8,0.0,49986.8,100.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,6.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:40:4,1771.7559999999999,1110.8958013468011,7,29.7,82.1,14.6,85.4,0.0,67.6,0.7,4.4,911984.0,92728.0,82832.8,59253.2,672839.6,0.0,45903.2,100.0,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,35.6,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:40:5,1641.512999999999,1143.461680952381,7,42.0,96.8,0.6,99.4,0.0,64.0,0.7,2.7,899612.8,105099.2,81894.0,55502.0,676812.4,0.0,41968.0,100.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,40.8,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19:41:0,1603.7275,1135.8357447306803,7,42.7,96.9,1.0,99.0,0.0,6.0,0.8,2.4,900334.8,104377.2,82324.4,55121.6,675059.6,0.0,43113.6,100.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,42.8,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
